Description,Score,Facilities,District,Neighbourhood,Room type,Price,Minimum nights,Host name,Number of reviews,Last review,Latitude,Longitude
Rental unit in lisboa,★4.61,"3 bedrooms, 3 beds, 1 shared bath",Lisboa,Santo Antnio,Private room,30,5,Nuno,150,2022-10-08,38.71724,-9.14755
Rental unit in lisboa,★4.65,"1 bedroom, 2 beds, 1 bath",Lisboa,Lumiar,Entire home/apt,60,20,Ana,38,2023-06-01,38.77596,-9.15101
Rental unit in lisboa,★4.92,"2 bedrooms, 3 beds, 2 baths",Lisboa,Santa Maria Maior,Entire home/apt,207,1,Martin,171,2023-05-17,38.71095,-9.13673
Rental unit in lisbon,★4.68,"2 bedrooms, 2 beds, 2 baths",Lisboa,Santa Maria Maior,Entire home/apt,60,3,Bruno,125,2022-12-02,38.71052,-9.13365
Condo in cascais,★4.45,"1 bedroom, 5 beds, 1 bath",Cascais,Cascais e Estoril,Entire home/apt,87,3,Margarida,64,2022-08-03,38.71015,-9.40746
Rental unit in lisbon,★4.83,"1 bedroom, 2 beds, 1.5 baths",Lisboa,Santa Maria Maior,Entire home/apt,79,3,Francisco,254,2023-06-05,38.71315,-9.12715
Rental unit in lisbon,★4.89,"1 bedroom, 1 bed, 1 bath",Lisboa,Alvalade,Private room,30,15,Maria,36,2023-06-04,38.74825,-9.1459
Rental unit in lisboa,★4.76,"3 bedrooms, 3 beds, 1 bath",Lisboa,Santo Antnio,Entire home/apt,200,4,Nuno,50,2019-01-05,38.71693,-9.148
Rental unit in lisbon,★4.68,"1 bedroom, 1 bed, 1 bath",Lisboa,Misericrdia,Entire home/apt,100,3,Nuno,205,2023-05-22,38.70691,-9.14846
Rental unit in lisbon,★4.73,"1 bedroom, 1 bed, 1 bath",Lisboa,Santa Maria Maior,Entire home/apt,70,2,Silvia,204,2022-10-01,38.71225,-9.12777
Rental unit in lisbon,★5.0,"1 bedroom, 1 bed, 1 bath",Lisboa,Alvalade,Private room,22,15,Maria,13,2023-04-22,38.74877,-9.1478
Rental unit in sintra,★4.83,"2 bedrooms, 3 beds, 1 bath",Sintra,Colares,Entire home/apt,85,5,Mario,24,2021-09-09,38.79325,-9.47854
Rental unit in ericeira,★4.66,"2 bedrooms, 3 beds, 2 baths",Mafra,Ericeira,Entire home/apt,100,90,Luis Pedro,65,2020-10-15,38.98762,-9.41653
Rental unit in lisbon,★4.49,"1 bedroom, 1 bed, 1 bath",Lisboa,Avenidas Novas,Entire home/apt,96,2,Rui,162,2023-06-04,38.73513,-9.14904
Townhouse in sintra,★4.64,"3 bedrooms, 4 beds, 3 baths",Sintra,Colares,Entire home/apt,218,5,Pedro,14,2022-09-04,38.82694,-9.46977
Tiny home in mafra,★4.50,"2 bedrooms, 2 beds, 1 bath",Mafra,Igreja Nova e Cheleiros,Entire home/apt,60,2,Eduardo,46,2023-06-03,38.88991,-9.31029
Home in mafra,★4.15,"3 bedrooms, 7 beds, 2 baths",Mafra,Igreja Nova e Cheleiros,Entire home/apt,130,2,Eduardo,13,2022-08-21,38.89156,-9.31059
Rental unit in lisbon,★4.67,"2 bedrooms, 3 beds, 1 bath",Lisboa,So Vicente,Entire home/apt,190,3,Susanna,127,2023-05-28,38.71337,-9.12548
Serviced apartment in lisbon,★4.79,"1 bedroom, 4 beds, 1 bath",Lisboa,Santa Maria Maior,Entire home/apt,90,1,Gonçalo,407,2023-06-11,38.71102,-9.12995
Rental unit in lisbon,★4.74,"1 bedroom, 1 bed, 1 bath",Lisboa,So Vicente,Entire home/apt,174,3,Susanna,172,2023-05-31,38.71337,-9.12548
Rental unit in lisbon,★4.40,"2 bedrooms, 2 beds, 1 bath",Lisboa,So Vicente,Entire home/apt,102,2,Mário,233,2023-05-26,38.71904,-9.13269
Rental unit in lisbon,★4.44,"1 bedroom, 1 bed, 1 bath",Lisboa,So Vicente,Entire home/apt,74,3,Cesar,184,2023-06-12,38.71478,-9.1241
Rental unit in lisbon,★4.51,"1 bedroom, 3 beds, 1 bath",Lisboa,Belm,Entire home/apt,79,3,Bruno,51,2023-05-31,38.6975,-9.19768
Rental unit in cascais,★4.76,"3 bedrooms, 4 beds, 2 baths",Cascais,Cascais e Estoril,Entire home/apt,72,3,Pedro,185,2023-06-05,38.69781,-9.42357
Home in sintra,★4.85,"3 bedrooms, 4 beds, 2.5 baths",Sintra,"S.Maria, S.Miguel, S.Martinho, S.Pedro Penaferrim",Entire home/apt,230,4,Rita,66,2023-06-04,38.80669,-9.397194
Rental unit in lisbon,★4.56,"2 bedrooms, 2 beds, 1 bath",Lisboa,So Vicente,Entire home/apt,90,3,Marta,46,2016-08-14,38.71732,-9.13098
Rental unit in cascais,★4.56,"1 bedroom, 1 bed, 1 bath",Cascais,Cascais e Estoril,Entire home/apt,101,3,Rita,104,2023-05-22,38.69914,-9.41998
Rental unit in lisboa,★4.80,"1 bedroom, 1 bed, 1 bath",Lisboa,Santa Maria Maior,Entire home/apt,94,2,Ellie,184,2023-06-05,38.71241,-9.12706
Rental unit in lisbon,★4.61,"1 bedroom, 1 bed, 1 shared bath",Lisboa,Arroios,Private room,36,1,Augusto,617,2023-05-27,38.7338,-9.133
Rental unit in lisbon,★4.57,"1 bedroom, 2 beds, 1 bath",Lisboa,Santa Maria Maior,Entire home/apt,105,5,Bárbara,365,2023-06-06,38.71082,-9.12719
Rental unit in lisbon,★4.66,"1 bedroom, 1 bed, 1 bath",Lisboa,Misericrdia,Entire home/apt,49,22,Fátima,76,2020-03-22,38.71331,-9.14608
Condo in lisboa,★4.84,"1 bedroom, 2 beds, 1 bath",Lisboa,Santo Antnio,Entire home/apt,107,2,Josie,139,2023-06-04,38.71956,-9.14255
Rental unit in lisbon,★4.91,"2 bedrooms, 3 beds, 2 baths",Lisboa,Santa Maria Maior,Entire home/apt,275,3,Paulo,23,2023-06-04,38.71094,-9.13999
Home in colares,★4.52,"3 bedrooms, 4 beds, 1 bath",Sintra,Colares,Entire home/apt,200,4,Paulo,32,2023-06-10,38.840667724609375,-9.46168041229248
Rental unit in lisbon,★4.79,"1 bedroom, 1 bed, 1 bath",Lisboa,Santa Maria Maior,Entire home/apt,27513,2,Mónica,376,2023-05-26,38.71156,-9.12987
Rental unit in lisbon,★Unknown,"1 bedroom, 1 bed, 1 private bath",Lisboa,Belm,Private room,110,1,Manuel,2,2016-07-10,38.71156,-9.21046
Rental unit in lisbon,★4.94,"9 bedrooms, 13 beds, 8 baths",Lisboa,Estrela,Entire home/apt,1157,2,Francisco,101,2023-06-04,38.71108,-9.15979
Rental unit in lisboa,★4.58,"1 bedroom, 2 beds, 1 bath",Lisboa,Avenidas Novas,Entire home/apt,70,7,Sara,53,2023-06-02,38.74571,-9.15264
Rental unit in lisboa,★4.73,"1 bedroom, 1 bed, 1 bath",Lisboa,Arroios,Entire home/apt,139,3,Juan,62,2023-05-08,38.71686,-9.14014
