Description,Score,Facilities,District,Neighbourhood,Room type,Price,Minimum nights,Host name,Number of reviews,Last review,Latitude,Longitude
Rental unit in porto,★4.70,"1 bedroom, 3 beds, 1 bath",Porto,Lordelo do Ouro e Massarelos,Entire home/apt,58,2,Paula,20,2022-07-28 00:00:00,41.1501,-8.66035
Rental unit in paredes municipality,★4.80,"2 bedrooms, 5 beds, 1 bath",Paredes,Cete,Entire home/apt,66,3,Isabel E João,15,2022-08-29 00:00:00,41.17481,-8.35362
Rental unit in porto,★4.54,"1 bedroom, 2 beds, 1 bath",Porto,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Entire home/apt,64,3,Estudios,164,2023-05-28 00:00:00,41.14755,-8.61742
Tiny home in vila nova de gaia,★5.0,"2 beds, 1 bath",Vila Nova de Gaia,São Félix da Marinha,Entire home/apt,67,2,Maria,3,2022-08-31 00:00:00,41.03993,-8.64003
Rental unit in estação,★4.83,"2 bedrooms, 4 beds, 1 bath",Paredes,Cete,Entire home/apt,66,5,Isabel E João,12,2022-08-22 00:00:00,41.17449,-8.35426
Rental unit in porto,★4.86,"2 bedrooms, 2 beds, 1 bath",Porto,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Entire home/apt,150,2,Ox,60,2023-04-24 00:00:00,41.14267,-8.61718
Rental unit in matosinhos,★4.64,"1 bedroom, 1 bed, 1 bath",Matosinhos,Matosinhos e Leça da Palmeira,Entire home/apt,38,4,Maria,139,2023-05-25 00:00:00,41.20043,-8.70667
Rental unit in porto,★4.79,"1 bedroom, 2 beds, 1 bath",Porto,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Entire home/apt,60,2,Dalila,561,2023-05-29 00:00:00,41.1447,-8.60541
Rental unit in porto,★4.76,"1 bedroom, 1 bed, 2 shared baths",Porto,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Private room,45,2,João,230,2023-05-30 00:00:00,41.14918,-8.60922
Rental unit in povoa de varzim,★4.36,"3 bedrooms, 5 beds, 2 baths",Vila do Conde,Vila do Conde,Entire home/apt,95,2,Patricia,73,2023-05-29 00:00:00,41.37035,-8.762
Rental unit in porto,★4.78,"2 bedrooms, 2 beds, 1.5 baths",Porto,Bonfim,Entire home/apt,80,3,Paula,230,2023-05-31 00:00:00,41.15786,-8.60427
Rental unit in porto,★4.30,"1 bedroom, 2 beds, 1 bath",Porto,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Entire home/apt,63,1,GuestReady,417,2023-06-05 00:00:00,41.14267,-8.61356
Rental unit in porto,★4.60,"1 bedroom, 1 bed, 1 bath",Porto,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Entire home/apt,65,3,Sónia,55,2023-06-11 00:00:00,41.14283,-8.60787
Loft in porto,★4.70,"1 bedroom, 3 beds, 1 bath",Porto,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Entire home/apt,125,2,Bruno,21,2021-12-05 00:00:00,41.14195,-8.61844
Loft in porto,★4.86,"2 bedrooms, 5 beds, 1 bath",Vila Nova de Gaia,Santa Marinha e São Pedro da Afurada,Entire home/apt,170,2,Bruno,44,2023-04-09 00:00:00,41.14008,-8.62086
Rental unit in porto,★4.78,"1 bedroom, 1 bed, 2 shared baths",Porto,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Private room,43,2,João,213,2023-05-29 00:00:00,41.14908,-8.60905
Rental unit in porto,★4.45,"1 bedroom, 1 bed, 1 bath",Porto,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Entire home/apt,47,3,Aposentus,111,2023-05-30 00:00:00,41.15821,-8.6124
