Place of residence at Census date [2021] (NUTS - 2013);S7A2021:2021-T:MF-T:Total;S7A2021:2021-T:MF-1:0 - 14 years;S7A2021:2021-T:MF-2:15 - 24 years;S7A2021:2021-T:MF-3:25 - 64 years;S7A2021:2021-T:MF-4:65 and more years;S7A2021:2021-1:M-T:Total;S7A2021:2021-1:M-1:0 - 14 years;S7A2021:2021-1:M-2:15 - 24 years;S7A2021:2021-1:M-3:25 - 64 years;S7A2021:2021-1:M-4:65 and more years;S7A2021:2021-2:F-T:Total;S7A2021:2021-2:F-1:0 - 14 years;S7A2021:2021-2:F-2:15 - 24 years;S7A2021:2021-2:F-3:25 - 64 years;S7A2021:2021-2:F-4:65 and more years
150201:Alcochete;13228;2127;1533;7133;2435;6357;1084;785;3424;1064;6871;1043;748;3709;1371
150202:Samouco;3344;508;416;1819;601;1589;223;208;890;268;1755;285;208;929;333
150203:São Francisco;2571;497;320;1383;371;1258;253;166;671;168;1313;244;154;712;203
150303:Costa da Caparica;13968;1731;1190;7565;3482;6640;931;628;3565;1516;7328;800;562;4000;1966
150312:União das freguesias de Almada, Cova da Piedade, Pragal e Cacilhas;48608;5336;4591;24468;14213;22126;2715;2328;11398;5685;26482;2621;2263;13070;8528
150313:União das freguesias de Caparica e Trafaria;26345;4075;3109;13521;5640;12470;2086;1597;6374;2413;13875;1989;1512;7147;3227
150314:União das freguesias de Charneca de Caparica e Sobreda;48733;7599;5340;25763;10031;23554;3955;2774;12317;4508;25179;3644;2566;13446;5523
150315:União das freguesias de Laranjeiro e Feijó;39584;5478;4451;20836;8819;18418;2804;2260;9655;3699;21166;2674;2191;11181;5120
111513:Águas Livres;37607;5256;3723;19640;8988;17253;2650;1873;9091;3639;20354;2606;1850;10549;5349
111512:Alfragide;16837;2501;2161;9076;3099;7970;1286;1102;4272;1310;8867;1215;1059;4804;1789
111514:Encosta do Sol;27093;3976;3160;14350;5607;12657;2046;1569;6703;2339;14436;1930;1591;7647;3268
111515:Falagueira-Venda Nova;20788;2545;2125;10596;5522;9404;1288;1050;4896;2170;11384;1257;1075;5700;3352
111516:Mina de Água;42961;6746;4497;23523;8195;20192;3431;2256;10988;3517;22769;3315;2241;12535;4678
111517:Venteira;26168;3327;2392;13773;6676;11917;1685;1209;6406;2617;14251;1642;1183;7367;4059
150407:Santo António da Charneca;11594;1788;1330;5920;2556;5487;922;682;2758;1125;6107;866;648;3162;1431
150409:União das freguesias de Alto do Seixalinho, Santo André e Verderena;41296;5013;4162;20660;11461;19235;2575;2082;9811;4767;22061;2438;2080;10849;6694
150410:União das freguesias de Barreiro e Lavradio;21813;2912;2348;11287;5266;10222;1473;1170;5367;2212;11591;1439;1178;5920;3054
150411:União das freguesias de Palhais e Coina;3642;610;363;1927;742;1758;309;189;929;331;1884;301;174;998;411
110501:Alcabideche;44165;6687;5235;23299;8944;21051;3407;2744;11131;3769;23114;3280;2491;12168;5175
110506:São Domingos de Rana;59238;9429;6712;31748;11349;27910;4836;3464;14725;4885;31328;4593;3248;17023;6464
110507:União das freguesias de Carcavelos e Parede;46529;6193;4914;23874;11548;21189;3203;2501;10960;4525;25340;2990;2413;12914;7023
110508:União das freguesias de Cascais e Estoril;64192;8728;6654;32190;16620;29616;4561;3398;14823;6834;34576;4167;3256;17367;9786
110601:Ajuda;14306;1796;1268;7323;3919;6566;939;648;3479;1500;7740;857;620;3844;2419
110602:Alcântara;13850;1774;1235;7500;3341;6269;885;604;3533;1247;7581;889;631;3967;2094
110654:Alvalade;33309;4639;3329;17104;8237;14956;2371;1651;7997;2937;18353;2268;1678;9107;5300
110655:Areeiro;21160;2779;2217;11102;5062;9653;1411;1102;5236;1904;11507;1368;1115;5866;3158
110656:Arroios;33302;3456;3135;20036;6675;16372;1735;1623;10472;2542;16930;1721;1512;9564;4133
110657:Avenidas Novas;23261;3047;2480;12276;5458;10645;1568;1202;5833;2042;12616;1479;1278;6443;3416
110607:Beato;12183;1351;1148;6542;3142;5786;695;622;3244;1225;6397;656;526;3298;1917
110658:Belém;16546;2468;1729;7958;4391;7574;1231;931;3678;1734;8972;1237;798;4280;2657
110608:Benfica;35362;4101;3193;17593;10475;15808;2115;1579;8170;3944;19554;1986;1614;9423;6531
110659:Campo de Ourique;22140;3156;2055;11499;5430;9877;1666;1009;5262;1940;12263;1490;1046;6237;3490
110610:Campolide;14787;1702;1413;8077;3595;6989;884;706;4038;1361;7798;818;707;4039;2234
110611:Carnide;18028;2462;2008;9289;4269;8350;1267;1016;4335;1732;9678;1195;992;4954;2537
110660:Estrela;20267;3013;2107;10956;4191;9379;1518;1045;5248;1568;10888;1495;1062;5708;2623
110618:Lumiar;46334;6790;5154;24701;9689;21521;3535;2594;11397;3995;24813;3255;2560;13304;5694
110621:Marvila;35479;4698;3751;18489;8541;16598;2423;1895;8794;3486;18881;2275;1856;9695;5055
110661:Misericórdia;9658;953;864;5608;2233;4809;516;435;2984;874;4849;437;429;2624;1359
110633:Olivais;32179;3865;3266;16494;8554;14917;2023;1649;7946;3299;17262;1842;1617;8548;5255
110662:Parque das Nações;22382;3961;2701;12321;3399;10823;2057;1415;5859;1492;11559;1904;1286;6462;1907
110663:Penha de França;28475;3076;2593;16222;6584;13280;1566;1314;7989;2411;15195;1510;1279;8233;4173
110664:Santa Clara;23645;4462;2882;12430;3871;11013;2306;1418;5747;1542;12632;2156;1464;6683;2329
110665:Santa Maria Maior;10051;875;853;6296;2027;5623;490;481;3874;778;4428;385;372;2422;1249
110666:Santo António;11060;1306;1063;6312;2379;5313;701;512;3177;923;5747;605;551;3135;1456
110639:São Domingos de Benfica;34076;4057;3463;17560;8996;15423;2064;1731;8132;3496;18653;1993;1732;9428;5500
110667:São Vicente;13956;1433;1162;8051;3310;6635;752;612;4040;1231;7321;681;550;4011;2079
110702:Bucelas;4802;656;466;2405;1275;2266;319;238;1170;539;2536;337;228;1235;736
110705:Fanhões;2639;370;262;1418;589;1270;192;122;703;253;1369;178;140;715;336
110707:Loures;30254;4717;3184;16458;5895;14257;2420;1613;7719;2505;15997;2297;1571;8739;3390
110708:Lousa;3216;430;305;1678;803;1542;204;171;814;353;1674;226;134;864;450
110731:União das freguesias de Camarate, Unhos e Apelação;33505;5445;3901;17215;6944;15860;2786;1983;8119;2972;17645;2659;1918;9096;3972
110726:União das freguesias de Moscavide e Portela;20922;2438;1834;10080;6570;9637;1328;947;4771;2591;11285;1110;887;5309;3979
110727:União das freguesias de Sacavém e Prior Velho;24672;3691;2889;13300;4792;11514;1907;1457;6181;1969;13158;1784;1432;7119;2823
110728:União das freguesias de Santa Iria de Azoia, São João da Talha e Bobadela;44453;6165;4543;23032;10713;21203;3217;2301;10896;4789;23250;2948;2242;12136;5924
110729:União das freguesias de Santo Antão e São Julião do Tojal;8605;1272;883;4445;2005;4158;649;468;2191;850;4447;623;415;2254;1155
110730:União das freguesias de Santo António dos Cavaleiros e Frielas;28522;4439;3465;15898;4720;13413;2284;1763;7394;1972;15109;2155;1702;8504;2748
110902:Carvoeira;2848;473;280;1606;489;1417;247;142;794;234;1431;226;138;812;255
110904:Encarnação;4918;710;578;2556;1074;2407;365;304;1255;483;2511;345;274;1301;591
110906:Ericeira;12359;1954;1279;6729;2397;5935;1031;647;3231;1026;6424;923;632;3498;1371
110909:Mafra;20781;3576;2494;11423;3288;10005;1828;1275;5471;1431;10776;1748;1219;5952;1857
110911:Milharado;7645;1356;969;4202;1118;3785;711;508;2065;501;3860;645;461;2137;617
110913:Santo Isidoro;4396;673;457;2375;891;2168;348;230;1170;420;2228;325;227;1205;471
