District,Population,Density
Ciudad de Madrid,3.286.662,"5.479,82"
Centro,139.682,"27.014,03"
Arganzuela,152.638,"23.868,58"
Retiro,117.672,"21.689,06"
Salamanca,145.457,"27.078,09"
Chamartín,144.371,"15.879,27"
Tetuán,157.433,"29.740,87"
Chamberí,137.287,"29.634,86"
Fuencarral - El Pardo,246.281,"1.041,42"
Moncloa - Aravaca,12.036,"2.596,84"
Latina,237.048,"9.444,80"
Carabanchel,255.514,"18.410,24"
Usera,140.808,"18.315,65"
Puente de Vallecas,235.638,"15.970,55"
Moratalaz,9.239,"15.370,70"
Ciudad Lineal,213.905,"18.976,37"
Hortaleza,195.017,"7.047,03"
Villaverde,153.829,"7.668,47"
Villa de Vallecas,114.817,"2.229,24"
Vicálvaro,79.328,"2.140,40"
San Blas - Canillejas,158.783,"7.188,90"
Barajas,48.404,"1.194,50"
A. M. Porto,1.740.117,"852,5"
Arouca,21.043,"63,9"
Espinho,31.059,"1.475,00"
Gondomar,164.371,"1.246,00"
Maia,13.594,"1.638,70"
Matosinhos,173.184,"2.774,50"
Oliveira de Azeméis,66.111,"410,4"
Paredes,84.439,"538,7"
Porto,232.753,"5.619,30"
Póvoa de Varzim,64.418,"783,6"
Santa Maria da Feira,136.756,"633,5"
Santo Tirso,67.528,"494,5"
São João da Madeira,22.307,"2.808,40"
Trofa,38.633,"536,5"
Vale de Cambra,21.198,"143,9"
Valongo,95.328,"1.268,90"
Vila do Conde,80.999,"543,5"
Vila Nova de Gaia,30.405,"1.804,80"
A. M. Lisboa,2.869.627,"951,7"
Alenquer,44.442,"142,22"
Amadora,171.454,"7.253,90"
Arruda dos Vinhos,13.992,"171,77"
Azambuja,21.421,"83,05"
Cadaval,13.372,"76,51"
Cascais,214.124,"2.195,20"
Lisboa,545.796,"5.438,00"
Loures,201.590,"1.211,60"
Lourinhã,26.240,"174,87"
Mafra,86.515,"297,6"
Odivelas,148.034,"5.619,10"
Oeiras,171.658,"3.750,70"
Sintra,385.606,"1.208,50"
Sobral de Monte Agraço,10.540,"195,31"
Torres Vedras,83.072,"195,25"
Vila Franca de Xira,137.529,"431,5"
