Date,Ciudad de Madrid,Centro,Arganzuela,Retiro,Salamanca,Chamartín,Tetuán,Chamberí,Fuencarral - El Pardo,Moncloa - Aravaca,Latina,Carabanchel,Usera,Puente de Vallecas,Moratalaz,Ciudad Lineal,Hortaleza,Villaverde,Villa de Vallecas,Vicálvaro,San Blas - Canillejas,Barajas
January 2022,14.7,17.9,14.7,15.2,17.6,15.3,15.3,17.2,12.4,14.2,12,11.7,11.3,12,11.1,13,12.6,10.9,11.3,10.5,11.5,11.6
February 2022,15,18.3,15,15.3,18.2,15.6,15.4,17.1,12.4,14.3,12,11.7,11.3,12,11.2,13,12.7,10.8,11.2,10.5,11.6,11.7
March 2022,15,18.5,15.1,15.8,18.3,16,15.4,17.3,12.6,14.7,12,11.8,11.4,12,11.2,13.1,12.8,10.8,11.1,10.5,11.8,12.2
April 2022,15.2,18.4,15.3,15.9,18.5,16.1,15.5,17.6,12.6,14.7,12,11.9,11.8,12.5,11.2,13.3,12.8,11,11.3,10.6,12,12.4
May 2022,15.4,18.5,15.2,16,18.5,16.2,15.5,17.8,12.6,15.1,12.3,12,12.5,12.5,11.4,13.4,12.8,11.1,11.6,10.8,12,12.4
June 2022,15.7,18.5,15.3,16,18.9,16.2,15.7,18,12.7,15.2,12.5,12.1,12.8,12.4,11.3,13.6,12.8,11.2,11.8,11,12.1,12.2
July 2022,15.7,18.5,15.3,16,18.9,16.2,15.7,18,12.7,15.2,12.5,12.1,12.8,12.4,11.3,13.6,12.8,11.2,11.8,11,12.1,12.2
August 2022,16.1,18.9,15.7,16.3,19.4,16.7,16,18,12.8,15.6,12.7,12.3,13.1,12.5,11.7,13.7,13,11.4,11.7,11.1,12.2,12.2
September 2022,16.3,19.2,15.7,16.4,20,16.7,16.3,18.3,12.9,15.8,12.9,12.5,12.9,12.7,12,13.8,13.2,11.7,11.7,11.2,12.3,12.1
October 2202,16.3,19.4,15.8,16.9,20,16.7,16.3,18.7,13,15.8,12.9,12.5,12.9,12.8,11.9,13.8,13.2,11.8,11.6,11.3,12.4,12.2
November 2022,16.2,20,16.1,17.3,19.8,16.7,16.5,19,13.1,15.6,13.1,12.7,12.8,12.7,11.9,14.1,13.3,11.9,11.7,11.3,12.5,12.4
December 2022,16.2,20.3,16.1,17.2,20,16.8,16.6,19.7,13.1,15.3,13,12.7,12.9,12.9,12,14.3,13.3,12,11.9,11.2,12.5,12.5
January 2023,16.5,21.1,16.3,17.5,20.4,17.2,16.9,20,13.2,15.3,13.1,12.6,13.3,13.1,12.1,14.3,13.5,11.9,12,11.3,12.4,12.6
February 2023,16.6,21.4,16.3,17.5,21,17.6,17,20,13.5,15.4,13,12.6,13.6,13.2,12.1,14.2,13.7,11.9,11.8,11.4,12.7,12.6
