Date,Ciudad de Madrid,Centro,Arganzuela,Retiro,Salamanca,Chamartín,Tetuán,Chamberí,Fuencarral - El Pardo,Moncloa - Aravaca,Latina,Carabanchel,Usera,Puente de Vallecas,Moratalaz,Ciudad Lineal,Hortaleza,Villaverde,Villa de Vallecas,Vicálvaro,San Blas - Canillejas,Barajas
January 2022,3744,4896,4059,4724,6149,5198,3691,5460,3624,4091,2298,2142,2023,1934,2534,2995,3816,1685,2408,2440,2575,3373
February 2022,3766,4987,4087,4864,6191,5219,3690,5454,3685,4083,2260,2145,2023,1934,2513,3031,3876,1694,2414,2589,2528,3378
March 2022,3782,5043,4085,4955,6311,5293,3756,5487,3692,4105,2267,2168,2040,1941,2506,3020,3964,1702,2459,2526,2546,3345
April 2022,3804,5084,4139,4984,6472,5340,3803,5555,3707,4179,2269,2179,2076,1976,2569,3052,3968,1728,2490,2533,2551,3241
May 2022,3833,5149,4187,5002,6548,5435,3795,5612,3692,4205,2299,2228,2097,1992,2581,3085,3980,1743,2510,2797,2585,3220
June 2022,3862,5175,4283,4958,6650,5522,3842,5688,3691,4213,2374,2256,2141,2053,2651,3117,3990,1784,2523,2837,2618,3237
July 2022,3900,5171,4282,4964,6658,5534,3917,5706,3718,4167,2404,2278,2128,2122,2647,3167,4003,1832,2491,2833,2666,3255
August 2022,3973,5172,4259,4994,6732,5517,3968,5785,3755,4166,2449,2287,2151,2159,2645,3226,3988,1851,2505,2842,2705,3327
September 2022,3992,5187,4259,5018,6714,5560,3976,5915,3784,4211,2433,2322,2142,2147,2654,3288,3972,1837,2420,2784,2777,3301
October 2202,3974,5218,4321,5094,6652,5590,3978,5887,3841,4287,2444,2318,2145,2116,2633,3290,3946,1832,2449,2822,2808,3385
November 2022,3973,5220,4331,5055,6653,5607,4038,5894,3839,4292,2480,2319,2195,2106,2651,3295,3869,1834,2510,2777,2803,3454
December 2022,3939,5205,4331,5017,6633,5590,4051,5870,3807,4291,2476,2333,2182,2112,2614,3255,3824,1834,2529,2708,2776,3414
January 2023,3929,5246,4333,5000,6601,5651,4026,5880,3783,4252,2467,2340,2171,2096,2617,3243,3783,1843,2558,2706,2778,3402
February 2023,3995,5300,4370,5000,6672,5713,4065,5922,3742,4296,2495,2356,2176,2103,2643,3253,3799,1869,2578,2780,2789,3410
