id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
393699,Rental unit in Lisboa · ★4.61 · 3 bedrooms · 3 beds · 1 shared bath,1593947,Nuno,Lisboa,Santo Antnio,38.71724,-9.14755,Private room,30,5,150,2022-10-08,1.10,12,169,1,
198480,Rental unit in Lisboa · ★4.65 · 1 bedroom · 2 beds · 1 bath,640147,Ana,Lisboa,Lumiar,38.77596,-9.15101,Entire home/apt,60,20,38,2023-06-01,0.45,1,127,8,61599/AL.
199461,Rental unit in Lisboa · ★4.92 · 2 bedrooms · 3 beds · 2 baths,914126,Martin,Lisboa,Santa Maria Maior,38.71095,-9.13673,Entire home/apt,207,1,171,2023-05-17,1.23,16,100,41,114187/AL
208683,Rental unit in Lisbon · ★4.68 · 2 bedrooms · 2 beds · 2 baths,753902,Bruno,Lisboa,Santa Maria Maior,38.71052,-9.13365,Entire home/apt,60,3,125,2022-12-02,1.04,6,103,1,35037/AL
211614,Condo in Cascais · ★4.45 · 1 bedroom · 5 beds · 1 bath,758277,Margarida,Cascais,Cascais e Estoril,38.71015,-9.40746,Entire home/apt,87,3,64,2022-08-03,0.48,2,149,3,59068/AL
211616,Rental unit in Lisbon · ★4.83 · 1 bedroom · 2 beds · 1.5 baths,1091599,Francisco,Lisboa,Santa Maria Maior,38.71315,-9.12715,Entire home/apt,79,3,254,2023-06-05,1.92,1,76,36,25786/AL
214729,Rental unit in Lisbon · ★4.89 · 1 bedroom · 1 bed · 1 bath,1108485,Maria,Lisboa,Alvalade,38.74825,-9.1459,Private room,30,15,36,2023-06-04,0.36,2,182,4,
393700,Rental unit in Lisboa · ★4.76 · 3 bedrooms · 3 beds · 1 bath,1593947,Nuno,Lisboa,Santo Antnio,38.71693,-9.148,Entire home/apt,200,4,50,2019-01-05,0.37,12,44,0,86359/AL
395874,Rental unit in Lisbon · ★4.68 · 1 bedroom · 1 bed · 1 bath,1165468,Nuno,Lisboa,Misericrdia,38.70691,-9.14846,Entire home/apt,100,3,205,2023-05-22,1.52,1,134,21,88259/AL
217187,Rental unit in Lisbon · ★4.73 · 1 bedroom · 1 bed · 1 bath,1121762,Silvia,Lisboa,Santa Maria Maior,38.71225,-9.12777,Entire home/apt,70,2,204,2022-10-01,1.43,2,75,20,84722/AL
217281,Rental unit in Lisbon · ★5.0 · 1 bedroom · 1 bed · 1 bath,1108485,Maria,Lisboa,Alvalade,38.74877,-9.1478,Private room,22,15,13,2023-04-22,0.43,2,185,4,
218584,Rental unit in Sintra · ★4.83 · 2 bedrooms · 3 beds · 1 bath,1130719,Mario,Sintra,Colares,38.79325,-9.47854,Entire home/apt,85,5,24,2021-09-09,0.22,1,163,0,11447/AL
396204,Rental unit in Ericeira · ★4.66 · 2 bedrooms · 3 beds · 2 baths,1731572,Luis Pedro,Mafra,Ericeira,38.98762,-9.41653,Entire home/apt,100,90,65,2020-10-15,0.54,1,276,0,
220359,Rental unit in Lisbon · ★4.49 · 1 bedroom · 1 bed · 1 bath,1142308,Rui,Lisboa,Avenidas Novas,38.73513,-9.14904,Entire home/apt,96,2,162,2023-06-04,1.18,1,280,28,121858/AL
