;;;;;;;;;;;;;;;;;;;;;;;
II.1.2 - Indicadores de população segundo a Tipologia de áreas urbanas, por NUTS III, 2021;;;;;;;;;;;;;;;;;;;;;;;
II.1.2 - Population indicators according to the Classification of urban areas, by NUTS III, 2021;;;;;;;;;;;;;;;;;;;;;;;
;Taxa bruta de natalidade;;;Taxa bruta de mortalidade;;;Proporção da população residente com 65 ou mais anos de idade;;;Saldo natural ;;;Índice de Envelhecimento;;;Relação de masculinidade;;;;;;;
;APU;AMU;APR;APU;AMU;APR;APU;AMU;APR;APU;AMU;APR;APU;AMU;APR;APU;AMU;APR;;;Desagregação Territorial;;
;‰ ;;;;;;%;;;N.º;;;;;;;;;;NUTS_2013;NUTS I;NUTS II;NUTS III
Portugal ; 8,2; 6,7; 5,4; 10,9; 13,1; 17,7; 21,8; 25,1; 33,2;-20 529;-9 396;-15 291; 162,3; 209,7; 341,5; 89,7; 93,5; 93,4;;PT;;;
 Continente; 8,3; 6,6; 5,3; 10,9; 13,2; 18,1; 22,0; 25,5; 34,1;-19 700;-9 106;-14 957; 163,5; 215,0; 359,9; 89,7; 93,5; 93,2;;1;x;;
  Norte; 7,4; 6,2; 4,4; 9,5; 10,8; 16,8; 21,4; 23,5; 35,1;-5 652;-2 739;-3 897; 168,9; 201,3; 409,8; 90,5; 92,9; 91,9;;11;;x;
   Alto Minho; 7,2; 5,3; 4,1; 12,2; 13,1; 18,6; 24,6; 28,6; 37,2;- 562;- 538;- 697; 200,5; 267,3; 427,0; 89,2; 89,1; 86,3;;111;;;x
   Cávado; 7,8; 6,3; 5,0; 7,7; 9,4; 14,9; 18,8; 21,8; 29,3; 44;- 366;- 90; 138,0; 178,7; 306,1; 91,4; 93,6; 95,7;;112;;;x
   Ave; 7,3; 6,8; 4,9; 8,3; 8,7; 14,0; 20,5; 20,8; 29,5;- 290;- 140;- 283; 163,2; 172,8; 307,1; 93,2; 94,8; 91,8;;119;;;x
   Área Metropolitana do Porto; 7,4; 6,3; 5,9; 9,9; 9,6; 12,4; 22,2; 22,6; 26,2;-4 050;- 353;- 174; 177,2; 190,1; 235,7; 89,7; 94,1; 93,3;;11A;;;x
   Alto Tâmega; 5,5; 4,7; 4,0; 10,8; 16,4; 17,5; 27,4; 34,5; 40,7;- 107;- 345;- 474; 234,2; 361,0; 570,2; 89,2; 90,5; 92,7;;11B;;;x
   Tâmega e Sousa; 7,2; 6,4; 5,3; 8,0; 9,6; 14,2; 17,9; 20,3; 26,5;- 192;- 427;- 320; 137,8; 166,9; 247,8; 93,3; 93,5; 92,2;;11C;;;x
   Douro; 6,7; 6,2; 4,3; 11,0; 15,4; 16,6; 22,0; 27,4; 35,0;- 265;- 364;-1 012; 173,0; 249,8; 428,3; 88,7; 90,7; 92,1;;11D;;;x
   Terras de Trás-os-Montes; 6,9; 5,5; 3,4; 12,0; 19,2; 21,1; 23,1; 31,1; 45,1;- 230;- 206;- 847; 188,2; 286,0; 731,0; 88,8; 92,1; 95,1;;11E;;;x
  Centro; 7,5; 6,6; 5,0; 11,6; 15,0; 18,7; 23,1; 27,9; 35,1;-4 786;-4 327;-7 551; 177,2; 242,4; 377,9; 89,9; 92,5; 91,8;;16;;x;
   Oeste; 8,2; 7,3; 6,1; 12,2; 14,9; 16,5; 22,3; 25,7; 28,5;- 813;- 775;- 630; 161,9; 207,9; 247,1; 91,0; 94,9; 94,8;;16B;;;x
   Região de Aveiro; 7,7; 7,2; 6,1; 10,7; 13,5; 13,0; 22,2; 25,0; 28,9;- 701;- 655;- 231; 172,1; 200,8; 268,9; 90,8; 93,0; 94,5;;16D;;;x
   Região de Coimbra; 7,0; 6,4; 4,7; 12,1; 15,2; 17,7; 24,9; 28,5; 33,5;-1 172;- 801;-1 482; 203,7; 258,8; 350,2; 87,5; 91,0; 91,5;;16E;;;x
   Região de Leiria; 8,0; 6,7; 5,8; 9,8; 13,0; 17,3; 21,2; 27,3; 32,4;- 269;- 441;- 779; 154,4; 236,3; 320,7; 92,1; 93,5; 91,7;;16F;;;x
   Viseu Dão Lafões; 7,5; 5,8; 4,5; 11,3; 16,4; 18,0; 22,8; 31,1; 35,5;- 466;- 544;-1 084; 168,4; 297,3; 398,8; 89,5; 90,5; 89,4;;16G;;;x
   Beira Baixa; 7,8; 6,4; 3,3; 11,7; 19,7; 24,6; 22,1; 33,2; 48,3;- 137;- 251;- 587; 168,7; 325,2; 770,8; 89,4; 92,3; 92,1;;16H;;;x
