;;;;;;;;;;;;;;;;;;;;
II.1.1 - Indicadores de população por município, 2021 (continua);;;;;;;;;;;;;;;;;;;;
II.1.1 - Population indicators by municipality, 2021 (to be continued);;;;;;;;;;;;;;;;;;;;
;"Densidade populacional 
?";Taxa de crescimento efetivo;Taxa de crescimento natural;Taxa de crescimento migratório;Taxa bruta de natalidade;Taxa bruta de mortalidade;Taxa bruta de nupcialidade;Taxa bruta de divórcio;Taxa de fecundidade geral;Taxa de fecundidade na adolescência;Índice sintético de fecundidade;Mulheres em idade fértil na população residente feminina;Nados-vivos fora do casamento;Proporção de casamentos católicos; ;;Desagregação Territorial;;;
;N.º/km2;%;;;‰;;;;;;N.º;%;;;;NUTS_2013;NUTS I;NUTS II;NUTS III;Município
Portugal;  112,2;- 0,19;- 0,44; 0,25;  7,7;  12,0;  2,8;  1,7;  35,8;  5,8;  1,34; 40,7; 60,0; 28,4;;PT;;;;
 Continente;  110,7;- 0,20;- 0,44; 0,25;  7,7;  12,1;  2,8;  1,6;  35,9;  5,7;  1,35; 40,6; 60,1; 28,5;;1;x;;;
  Norte;  168,6;- 0,17;- 0,34; 0,18;  6,9;  10,3;  3,2;  1,8;  32,0;  4,1;  1,20; 41,0; 53,7; 37,0;;11;;x;;
   Alto Minho;  104,1;- 0,51;- 0,78; 0,27;  6,0;  13,8;  3,1;  1,6;  30,6;  4,9;  1,18; 36,9; 53,6; 35,9;;111;;;x;
Arcos de Valdevez;  46,3;- 0,55;- 1,20; 0,65;  5,3;  17,3;  2,1;  1,2;  30,7;x;x; 32,1; 52,7; 20,9;;1111601;;;;x
Caminha;  115,7;- 0,44;- 0,92; 0,49;  5,4;  14,7;  3,3;  1,5;  28,4;x;x; 35,7; 67,4; 30,2;;1111602;;;;x
Melgaço;  32,6;- 1,00;- 1,91; 0,91;  3,6;  22,7;  1,8;  1,0;  25,4;x;x; 25,4; 60,7; 14,3;;1111603;;;;x
Monção;  84,2;- 0,58;- 1,23; 0,66;  4,4;  16,7;  2,1;  1,4;  25,3;x;x; 32,3; 55,7; 21,6;;1111604;;;;x
Paredes de Coura;  62,4;- 0,76;- 1,06; 0,30;  4,9;  15,5;  1,4;  0,9;  27,0;x;x; 34,6; 54,8; 25,0;;1111605;;;;x
Ponte da Barca;  60,5;- 0,81;- 1,23; 0,42;  5,1;  17,4;  3,5;  1,9;  27,2;x;x; 35,3; 45,6; 12,8;;1111606;;;;x
Ponte de Lima;  128,1;- 0,54;- 0,50;- 0,04;  6,6;  11,5;  3,4;  1,5;  30,9;x;x; 40,0; 41,5; 51,4;;1111607;;;;x
Valença;  116,4;- 0,27;- 0,72; 0,45;  7,4;  14,6;  2,0;  2,2;  35,5;x;x; 39,3; 67,3; 25,9;;1111608;;;;x
Viana do Castelo;  268,4;- 0,44;- 0,49; 0,05;  6,6;  11,5;  3,7;  1,8;  32,0;x;x; 38,9; 53,4; 40,3;;1111609;;;;x
Vila Nova de Cerveira;  82,4;- 0,23;- 0,94; 0,70;  6,0;  15,4;  3,5;  1,8;  30,8;x;x; 38,2; 70,4; 22,6;;1111610;;;;x
   Cávado;  334,4;- 0,12;- 0,10;- 0,02;  7,3;  8,3;  3,7;  1,7;  31,7;  3,6;  1,18; 44,1; 46,6; 37,7;;112;;;x;
Amares;  226,9;- 0,13;- 0,28; 0,16;  7,1;  9,9;  4,9;  1,3;  32,0;x;x; 43,2; 46,2; 43,5;;1120301;;;;x
Barcelos;  307,1;- 0,52;- 0,22;- 0,30;  6,5;  8,7;  3,4;  1,5;  28,5;x;x; 43,6; 43,9; 50,1;;1120302;;;;x
Braga; 1 056,0; 0,12; 0,06; 0,05;  7,8;  7,2;  3,4;  1,9;  32,8;x;x; 45,0; 48,9; 31,1;;1120303;;;;x
Esposende;  369,3; 0,08;- 0,13; 0,21;  8,0;  9,3;  3,3;  1,6;  35,1;x;x; 43,7; 45,2; 49,6;;1120306;;;;x
Terras de Bouro;  22,8;- 0,79;- 0,87; 0,08;  5,2;  13,9;  4,4;  1,1;  28,1;x;x; 35,8; 48,5; 0,0;;1120310;;;;x
Vila Verde;  203,1;- 0,16;- 0,26; 0,09;  7,4;  10,0;  5,1;  1,5;  33,0;x;x; 43,0; 43,4; 32,1;;1120313;;;;x
   Ave;  287,8;- 0,32;- 0,17;- 0,15;  7,1;  8,8;  2,6;  1,8;  31,9;  2,7;  1,20; 42,3; 48,8; 37,0;;119;;;x;
Cabeceiras de Basto;  64,1;- 0,55;- 0,51;- 0,04;  6,3;  11,4;  3,2;  2,1;  29,4;x;x; 41,6; 48,0; 46,9;;1190304;;;;x
Fafe;  220,7;- 0,53;- 0,33;- 0,21;  6,4;  9,7;  3,0;  1,6;  29,8;x;x; 40,8; 55,0; 43,4;;1190307;;;;x
Guimarães;  648,7;- 0,39;- 0,08;- 0,31;  7,3;  8,1;  2,2;  2,0;  32,9;x;x; 42,6; 47,0; 26,8;;1190308;;;;x
Mondim de Basto;  37,2;- 0,36;- 0,67; 0,31;  3,9;  10,6;  4,7;  1,7;  20,5;x;x; 36,7; 60,0; 36,7;;1191705;;;;x
Póvoa de Lanhoso;  161,9;- 0,06;- 0,46; 0,39;  6,0;  10,5;  2,1;  2,2;  27,8;x;x; 41,1; 46,2; 0,0;;1190309;;;;x
Vieira do Minho;  55,1;- 0,69;- 0,94; 0,25;  5,3;  14,7;  3,4;  1,6;  28,9;x;x; 35,3; 53,1; 43,9;;1190311;;;;x
Vila Nova de Famalicão;  662,3;- 0,19;- 0,08;- 0,11;  7,4;  8,3;  2,9;  1,8;  32,9;x;x; 43,2; 48,3; 47,4;;1190312;;;;x
Vizela;  968,2; 0,03; 0,06;- 0,04;  7,7;  7,1;  2,6;  1,4;  33,0;x;x; 45,0; 51,6; 30,6;;1190314;;;;x
   A. M. Porto;  852,5; 0,05;- 0,26; 0,31;  7,3;  9,9;  3,2;  1,8;  33,2;  4,3;  1,23; 41,5; 57,1; 31,9;;11A;;;x;
Arouca;  63,9;- 0,70;- 0,45;- 0,24;  5,9;  10,5;  3,1;  2,0;  28,8;x;x; 39,3; 46,4; 42,4;;11A0104;;;;x
Espinho; 1 475,0;- 0,25;- 0,60; 0,35;  6,4;  12,4;  6,2;  1,9;  34,0;x;x; 35,2; 63,5; 22,5;;11A0107;;;;x
Gondomar; 1 246,0;- 0,12;- 0,30; 0,18;  7,4;  10,4;  1,8;  1,8;  33,7;x;x; 41,4; 60,4; 35,5;;11A1304;;;;x
Maia; 1 638,7; 0,63;- 0,07; 0,70;  7,2;  7,9;  2,0;  1,7;  31,1;x;x; 43,6; 59,2; 10,2;;11A1306;;;;x
Matosinhos; 2 774,5; 0,20;- 0,28; 0,48;  6,9;  9,7;  2,1;  1,9;  31,9;x;x; 40,5; 59,4; 34,5;;11A1308;;;;x
Oliveira de Azeméis;  410,4;- 0,36;- 0,37; 0,02;  6,5;  10,2;  2,4;  1,9;  31,0;x;x; 40,1; 54,2; 48,8;;11A0113;;;;x
Paredes;  538,7; 0,01; 0,07;- 0,06;  8,0;  7,3;  2,0;  2,1;  33,3;x;x; 46,1; 50,7; 61,2;;11A1310;;;;x
Porto; 5 619,3; 0,14;- 0,54; 0,67;  7,9;  13,2;  5,9;  1,8;  36,6;x;x; 39,5; 56,3; 23,9;;11A1312;;;;x
Póvoa de Varzim;  783,6; 0,10;- 0,19; 0,29;  7,3;  9,2;  5,3;  1,9;  32,0;x;x; 42,6; 52,9; 30,3;;11A1313;;;;x
Santa Maria da Feira;  633,5;- 0,14;- 0,23; 0,09;  6,8;  9,1;  2,8;  1,8;  31,4;x;x; 41,7; 57,0; 43,4;;11A0109;;;;x
Santo Tirso;  494,5;- 0,52;- 0,49;- 0,03;  6,3;  11,2;  3,5;  1,8;  30,5;x;x; 39,1; 52,6; 49,2;;11A1314;;;;x
São João da Madeira; 2 808,4; 0,47;- 0,35; 0,82;  6,9;  10,4;  5,4;  2,1;  31,6;x;x; 41,0; 63,6; 27,7;;11A0116;;;;x
Trofa;  536,5; 0,11;- 0,08; 0,19;  8,1;  8,9;  3,5;  1,8;  35,7;x;x; 43,3; 53,7; 55,6;;11A1318;;;;x
Vale de Cambra;  143,9;- 0,57;- 0,60; 0,03;  5,7;  11,8;  4,6;  1,6;  30,1;x;x; 36,6; 49,2; 32,0;;11A0119;;;;x
Valongo; 1 268,9; 0,63; 0,01; 0,61;  8,0;  7,9;  3,6;  1,9;  34,1;x;x; 44,3; 61,2; 31,3;;11A1315;;;;x
Vila do Conde;  543,5; 0,02;- 0,27; 0,29;  7,3;  10,0;  4,0;  2,1;  32,7;x;x; 42,8; 47,1; 30,2;;11A1316;;;;x
Vila Nova de Gaia; 1 804,8;- 0,06;- 0,19; 0,13;  7,5;  9,4;  2,1;  1,8;  34,0;x;x; 41,9; 59,5; 29,2;;11A1317;;;;x
   Alto Tâmega;  28,8;- 0,63;- 1,10; 0,47;  4,6;  15,6;  2,7;  1,7;  27,9;  4,6;  1,08; 31,3; 60,6; 28,6;;11B;;;x;
Boticas;  15,4;- 1,16;- 1,24; 0,08;  4,8;  17,2;  2,6;  1,8;  29,9;x;x; 30,7; 62,5; 15,4;;11B1702;;;;x
Chaves;  63,6;- 0,30;- 0,88; 0,58;  4,6;  13,4;  3,2;  2,2;  26,3;x;x; 33,2; 64,7; 31,6;;11B1703;;;;x
Montalegre;  11,4;- 1,02;- 1,29; 0,27;  4,8;  17,6;  2,8;  1,2;  33,2;x;x; 27,7; 40,9; 26,9;;11B1706;;;;x
Ribeira de Pena;  27,1;- 0,25;- 0,73; 0,47;  5,1;  12,4;  1,7;  0,7;  30,2;x;x; 33,3; 60,0; 30,0;;11B1709;;;;x
Valpaços;  26,7;- 1,14;- 1,61; 0,48;  3,9;  20,1;  2,2;  1,2;  26,9;x;x; 27,7; 67,2; 21,2;;11B1712;;;;x
Vila Pouca de Aguiar;  27,0;- 0,68;- 1,13; 0,45;  4,8;  16,1;  2,1;  1,7;  29,1;x;x; 31,5; 56,1; 32,0;;11B1713;;;;x
