;;;;;;;;;;;;;;;;;;;
II.1.1 - Indicadores de população por município, 2021 (continuação);;;;;;;;;;;;;;;;;;;
II.1.1 - Population indicators by municipality, 2021 (continued);;;;;;;;;;;;;;;;;;;
;Proporção de casamentos entre portugueses/as e estrangeiros/as;População estrangeira a quem foi concedido título de residência por 100 habitantes;Índice de envelhecimento;Índice de renovação da população em idade ativa;Índice de dependência de idosas/os;Índice de longevidade;Relação de masculinidade;Relação de masculinidade dos estrangeiros a quem foi concedido título de residência ;Idade média das mulheres ao nascimento do primeiro filho;Idade média da mulher ao primeiro casamento;Idade média do homem ao primeiro casamento;"Esperança de vida à nascença
";Esperança de vida aos 65 anos;;;;;;
;%;N.º;;;;;;;anos;;;;;;;Desagregação Territorial;;;
;2021;;;;;;;;;;;2019-2021;;;NUTS_2013;NUTS I;NUTS II;NUTS III;Município
Portugal; 12,9;  1,07; 184,9; 75,5; 37,2; 48,9; 90,7; 116,4; 30,4; 32,9; 34,3;  80,72;  19,35;;PT;;;;
 Continente; 13,2;  1,10; 187,4; 75,4; 37,8; 49,0; 90,6; 116,5; 30,5; 32,9; 34,3;  80,84;  19,44;;1;x;;;
  Norte; 10,0;  0,56; 188,9; 73,3; 35,4; 46,6; 91,0; 109,8; 30,8; 31,9; 33,1;  81,13;  19,51;;11;;x;;
   Alto Minho; 13,1;  0,75; 256,6; 66,2; 46,9; 51,2; 88,6; 114,1; 30,4; 32,7; 33,7;  80,64;  19,66;;111;;;x;
Arcos de Valdevez; 32,6;  0,33; 391,7; 59,1; 65,8; 54,2; 85,2; 72,5;x;x;x;x;x;;1111601;;;;x
Caminha; 5,7;  0,83; 275,5; 60,5; 50,3; 50,5; 87,4; 158,8;x;x;x;x;x;;1111602;;;;x
Melgaço; 14,3;  0,50; 565,2; 42,6; 85,8; 55,4; 80,8; 69,6;x;x;x;x;x;;1111603;;;;x
Monção; 13,5;  1,00; 357,5; 52,6; 61,4; 51,7; 85,3; 102,3;x;x;x;x;x;;1111604;;;;x
Paredes de Coura; 8,3;  0,53; 290,5; 58,0; 53,7; 53,2; 92,5; 76,9;x;x;x;x;x;;1111605;;;;x
Ponte da Barca; 10,3;  0,19; 292,3; 67,6; 50,7; 53,8; 87,3; 200,0;x;x;x;x;x;;1111606;;;;x
Ponte de Lima; 2,1;  0,31; 212,8; 76,9; 38,8; 52,2; 89,5; 118,6;x;x;x;x;x;;1111607;;;;x
Valença; 22,2;  1,87; 222,0; 74,2; 43,3; 49,5; 89,1; 120,7;x;x;x;x;x;;1111608;;;;x
