;;;;;;;;;;;;;;;
II.1.3 - População residente por município, segundo os grandes grupos etários e o sexo em 31/12/2021 (continuação);;;;;;;;;;;;;;;
II.1.3 - Resident population by municipality and according to age groups and sex on 31/12/2021 (continued);;;;;;;;;;;;;;;
Unidade: N.º;;;;;;;;;Unit: No.;;;;;;
;25-64 anos;;;65 e mais anos;;;;;;;;;;;
;HM;H;M;Total;;;75 e mais anos;;;;;Desagregação Territorial;;;
;;;;HM;H;M;HM;H;M;;NUTS_2013;NUTS I;NUTS II;NUTS III;Município
Portugal; 5 493 359; 2 641 461; 2 851 898; 2 449 743; 1 048 198; 1 401 545; 1 197 216;  474 761;  722 455;;PT;;;;
 Continente; 5 218 543; 2 507 780; 2 710 763; 2 359 134; 1 011 439; 1 347 695; 1 157 122;  460 813;  696 309;;1;x;;;
  Norte; 1 945 971;  934 616; 1 011 355;  823 506;  355 694;  467 812;  384 161;  153 294;  230 867;;11;;x;;
   Alto Minho;  117 616;  56 493;  61 123;  65 596;  27 587;  38 009;  33 572;  12 999;  20 573;;111;;;x;
Arcos de Valdevez;  9 526;  4 615;  4 911;  7 461;  3 062;  4 399;  4 043;  1 532;  2 511;;1111601;;;;x
Caminha;  7 977;  3 748;  4 229;  4 714;  2 012;  2 702;  2 381;   929;  1 452;;1111602;;;;x
Melgaço;  3 332;  1 566;  1 766;  3 318;  1 345;  1 973;  1 837;   693;  1 144;;1111603;;;;x
Monção;  8 575;  4 103;  4 472;  6 120;  2 517;  3 603;  3 161;  1 191;  1 970;;1111604;;;;x
Paredes de Coura;  4 252;  2 165;  2 087;  2 687;  1 122;  1 565;  1 430;   554;   876;;1111605;;;;x
Ponte da Barca;  5 512;  2 654;  2 858;  3 326;  1 369;  1 957;  1 790;   710;  1 080;;1111606;;;;x
Ponte de Lima;  21 625;  10 450;  11 175;  10 132;  4 214;  5 918;  5 288;  2 005;  3 283;;1111607;;;;x
Valença;  7 076;  3 380;  3 696;  3 626;  1 536;  2 090;  1 795;   697;  1 098;;1111608;;;;x
Viana do Castelo;  45 105;  21 497;  23 608;  21 808;  9 409;  12 399;  10 633;  4 230;  6 403;;1111609;;;;x
Vila Nova de Cerveira;  4 636;  2 315;  2 321;  2 404;  1 001;  1 403;  1 214;   458;   756;;1111610;;;;x
   Cávado;  231 478;  110 978;  120 500;  82 881;  36 085;  46 796;  37 656;  15 130;  22 526;;112;;;x;
Amares;  10 003;  4 859;  5 144;  4 044;  1 805;  2 239;  1 931;   801;  1 130;;1120301;;;;x
Barcelos;  64 811;  31 459;  33 352;  23 453;  10 166;  13 287;  10 451;  4 131;  6 320;;1120302;;;;x
Braga;  109 297;  51 860;  57 437;  36 037;  15 668;  20 369;  15 833;  6 381;  9 452;;1120303;;;;x
Esposende;  19 418;  9 253;  10 165;  7 199;  3 192;  4 007;  3 259;  1 341;  1 918;;1120306;;;;x
Terras de Bouro;  3 188;  1 567;  1 621;  1 858;   827;  1 031;   965;   399;   566;;1120310;;;;x
Vila Verde;  24 761;  11 980;  12 781;  10 290;  4 427;  5 863;  5 217;  2 077;  3 140;;1120313;;;;x
   Ave;  232 148;  112 863;  119 285;  88 555;  38 728;  49 827;  38 784;  15 438;  23 346;;119;;;x;
Cabeceiras de Basto;  8 245;  4 068;  4 177;  3 589;  1 577;  2 012;  1 855;   731;  1 124;;1190304;;;;x
Fafe;  26 182;  12 588;  13 594;  11 372;  4 843;  6 529;  5 143;  1 959;  3 184;;1190307;;;;x
Guimarães;  87 889;  42 799;  45 090;  32 084;  14 073;  18 011;  13 525;  5 402;  8 123;;1190308;;;;x
