;;;;;;;;;;;;;;;
II.1.6 - Movimento da população e população estrangeira por município, 2021 (continua);;;;;;;;;;;;;;;
II.1.6 - Population changes and foreign population by municipality, 2021 (to be continued);;;;;;;;;;;;;;;
Unidade: N.º;;;;;;;;;Unit: No.;;;;;;
;Nados-vivos;;;;;Óbitos;;;;;;;;;
;Total;;;Fora do casamento;;Total;;;"Com 
menos
de 1 ano";;;Desagregação Territorial;;;
;HM;H;M;Total;Com coabitação dos pais;HM;H;M;;;NUTS_2013;NUTS I;NUTS II;NUTS III;Município
Portugal;  79 582;  40 762;  38 820;  47 785;  33 658;  124 802;  62 694;  62 108;   191;;PT;;;;
 Continente;  75 795;  38 856;  36 939;  45 559;  32 074;  119 558;  60 048;  59 510;   180;;1;x;;;
  Norte;  24 825;  12 769;  12 056;  13 336;  9 221;  37 113;  18 735;  18 378;   51;;11;;x;;
   Alto Minho;  1 394;   714;   680;   747;   614;  3 191;  1 491;  1 700;   1;;111;;;x;
Arcos de Valdevez;   110;   57;   53;   58;   52;   359;   155;   204;   0;;1111601;;;;x
Caminha;   86;   53;   33;   58;   48;   232;   102;   130;   0;;1111602;;;;x
Melgaço;   28;   13;   15;   17;   12;   177;   73;   104;   0;;1111603;;;;x
Monção;   79;   39;   40;   44;   37;   299;   123;   176;   0;;1111604;;;;x
Paredes de Coura;   42;   21;   21;   23;   21;   134;   73;   61;   0;;1111605;;;;x
Ponte da Barca;   57;   30;   27;   26;   21;   193;   96;   97;   0;;1111606;;;;x
Ponte de Lima;   270;   138;   132;   112;   79;   475;   212;   263;   0;;1111607;;;;x
Valença;   101;   47;   54;   68;   57;   199;   110;   89;   0;;1111608;;;;x
Viana do Castelo;   567;   283;   284;   303;   255;   985;   481;   504;   1;;1111609;;;;x
Vila Nova de Cerveira;   54;   33;   21;   38;   32;   138;   66;   72;   0;;1111610;;;;x
   Cávado;  3 058;  1 587;  1 471;  1 424;  1 059;  3 470;  1 710;  1 760;   6;;112;;;x;
Amares;   132;   74;   58;   61;   43;   185;   101;   84;   0;;1120301;;;;x
Barcelos;   756;   382;   374;   332;   273;  1 017;   502;   515;   3;;1120302;;;;x
Braga;  1 508;   786;   722;   737;   517;  1 386;   689;   697;   1;;1120303;;;;x
Esposende;   283;   152;   131;   128;   101;   328;   153;   175;   1;;1120306;;;;x
Terras de Bouro;   33;   20;   13;   16;   8;   88;   44;   44;   0;;1120310;;;;x
Vila Verde;   346;   173;   173;   150;   117;   466;   221;   245;   1;;1120313;;;;x
   Ave;  2 952;  1 517;  1 435;  1 441;   990;  3 665;  1 894;  1 771;   8;;119;;;x;
Cabeceiras de Basto;   98;   47;   51;   47;   33;   178;   96;   82;   0;;1190304;;;;x
Fafe;   311;   163;   148;   171;   124;   469;   242;   227;   0;;1190307;;;;x
Guimarães;  1 147;   611;   536;   539;   354;  1 270;   638;   632;   4;;1190308;;;;x
Mondim de Basto;   25;   15;   10;   15;   9;   68;   38;   30;   1;;1191705;;;;x
Póvoa de Lanhoso;   130;   66;   64;   60;   52;   230;   106;   124;   0;;1190309;;;;x
Vieira do Minho;   64;   29;   35;   34;   20;   176;   107;   69;   0;;1190311;;;;x
Vila Nova de Famalicão;   993;   503;   490;   480;   347;  1 105;   583;   522;   1;;1190312;;;;x
Vizela;   184;   83;   101;   95;   51;   169;   84;   85;   2;;1190314;;;;x
   A. M. Porto;  12 700;  6 531;  6 169;  7 248;  4 891;  17 277;  8 731;  8 546;   26;;11A;;;x;
Arouca;   125;   66;   59;   58;   51;   221;   115;   106;   0;;11A0104;;;;x
Espinho;   200;   93;   107;   127;   86;   387;   184;   203;   0;;11A0107;;;;x
Gondomar;  1 217;   586;   631;   735;   486;  1 711;   895;   816;   1;;11A1304;;;;x
Maia;   974;   508;   466;   577;   412;  1 068;   560;   508;   3;;11A1306;;;;x
Matosinhos;  1 190;   616;   574;   707;   465;  1 675;   829;   846;   6;;11A1308;;;;x
Oliveira de Azeméis;   428;   226;   202;   232;   176;   676;   357;   319;   1;;11A0113;;;;x
Paredes;   674;   351;   323;   342;   207;   617;   336;   281;   0;;11A1310;;;;x
Porto;  1 830;   932;   898;  1 031;   641;  3 075;  1 462;  1 613;   2;;11A1312;;;;x
Póvoa de Varzim;   467;   234;   233;   247;   172;   590;   295;   295;   0;;11A1313;;;;x
Santa Maria da Feira;   935;   496;   439;   533;   369;  1 248;   636;   612;   0;;11A0109;;;;x
Santo Tirso;   426;   231;   195;   224;   145;   759;   377;   382;   2;;11A1314;;;;x
São João da Madeira;   154;   89;   65;   98;   70;   232;   125;   107;   0;;11A0116;;;;x
Trofa;   313;   170;   143;   168;   129;   345;   176;   169;   1;;11A1318;;;;x
