;;;;;;;;;;;;;;;;;;;;;
II.1.6 - Movimento da população e população estrangeira por município, 2021 (continuação);;;;;;;;;;;;;;;;;;;;;
II.1.6 - Population changes and foreign population by municipality, 2021 (continued);;;;;;;;;;;;;;;;;;;;;
Unidade: N.º;;;;;;;;;;;;;;;Unit: No.;;;;;;
;Casamentos;;;;;;Casamentos dissolvidos;;;População estrangeira a quem foi concedido título de residência;;;População estrangeira com estatuto de residente;;;;;;;;
;Total;Entre pessoas de sexo oposto;;;Entre pessoas do mesmo sexo;;;;;;;;;;;;;;;;
;;Total;dos quais;;Masculino;Feminino;Total;por divórcio;por morte;;;;;;;;;Desagregação Territorial;;;
;;;Só civis;Católicos;;;;;;HM;H;M;HM;H;M;;NUTS_2013;NUTS I;NUTS II;NUTS III;Município
Portugal;  29 057;  28 508;  20 317;  8 097;   287;   262;  67 187;  17 279;  49 908;  111 311;  59 885;  51 426;  698 536;  359 727;  338 809;;PT;;;;
 Continente;  27 354;  26 844;  19 105;  7 649;   268;   242;  64 100;  16 225;  47 875;  108 967;  58 634;  50 333;  683 669;  352 363;  331 306;;1;x;;;
  Norte;  11 361;  11 227;  7 040;  4 155;   75;   59;  22 004;  6 277;  15 727;  19 993;  10 463;  9 530;  100 084;  49 151;  50 933;;11;;x;;
   Alto Minho;   711;   704;   451;   253;   2;   5;  1 628;   367;  1 261;  1 743;   929;   814;  7 505;  3 923;  3 582;;111;;;x;
Arcos de Valdevez;   43;   43;   34;   9;   0;   0;   161;   24;   137;   69;   29;   40;   344;   150;   194;;1111601;;;;x
Caminha;   53;   53;   37;   16;   0;   0;   112;   23;   89;   132;   81;   51;   625;   342;   283;;1111602;;;;x
Melgaço;   14;   14;   12;   2;   0;   0;   81;   8;   73;   39;   16;   23;   149;   61;   88;;1111603;;;;x
Monção;   37;   37;   29;   8;   0;   0;   126;   24;   102;   178;   90;   88;   876;   442;   434;;1111604;;;;x
Paredes de Coura;   12;   12;   9;   3;   0;   0;   62;   8;   54;   46;   20;   26;   184;   93;   91;;1111605;;;;x
