;;;;;;;;;;;;;;;;;
II.1.7 - População estrangeira com estatuto de residente segundo as principais nacionalidades por município, 2021;;;;;;;;;;;;;;;;;
II.1.7 - Foreign population with resident status according to main nationalities by municipality, 2021;;;;;;;;;;;;;;;;;
Unidade: N.º;;;;;;;;;;;Unit: No.;;;Desagregação Territorial;;;
;Total;Brasil ;Ucrânia;Cabo Verde;Roménia;Angola;Guiné Bissau;Reino Unido;Moldávia;China;São Tomé e Príncipe;;NUTS_2013;NUTS I;NUTS II;NUTS III;Município
Portugal;  698 536;  204 313;  27 139;  33 979;  28 592;  25 683;  20 342;  41 873;  5 170;  22 745;  11 170;;PT;;;;
 Continente;  683 669;  202 448;  26 822;  33 750;  28 285;  25 616;  20 274;  40 410;  5 143;  22 177;  11 085;;1;x;;;
  Norte;  100 084;  48 514;  3 416;  2 423;  1 572;  3 087;   798;  1 641;   178;  4 390;  1 003;;11;;x;;
   Alto Minho;  7 505;  3 034;   187;   155;   159;   93;   27;   250;   8;   211;   185;;111;;;x;
Arcos de Valdevez;   344;   110;   3;   20;   5;   2;   3;   23;   0;   15;   13;;1111601;;;;x
Caminha;   625;   152;   6;   24;   10;   7;   1;   31;   1;   23;   4;;1111602;;;;x
Melgaço;   149;   82;   2;   2;   0;   0;   0;   1;   0;   5;   2;;1111603;;;;x
Monção;   876;   403;   44;   7;   12;   1;   2;   6;   1;   30;   7;;1111604;;;;x
Paredes de Coura;   184;   40;   0;   0;   1;   1;   0;   29;   0;   4;   3;;1111605;;;;x
Ponte da Barca;   142;   45;   1;   10;   0;   0;   0;   12;   0;   19;   7;;1111606;;;;x
Ponte de Lima;   548;   190;   8;   3;   5;   11;   6;   30;   3;   23;   2;;1111607;;;;x
Valença;  1 057;   471;   23;   20;   19;   6;   2;   27;   1;   11;   3;;1111608;;;;x
Viana do Castelo;  2 991;  1 402;   85;   67;   99;   51;   11;   62;   2;   69;   144;;1111609;;;;x
Vila Nova de Cerveira;   589;   139;   15;   2;   8;   14;   2;   29;   0;   12;   0;;1111610;;;;x
   Cávado;  16 781;  9 753;   611;   249;   369;   521;   87;   148;   27;   475;   93;;112;;;x;
Amares;   425;   239;   13;   1;   5;   8;   0;   10;   5;   7;   20;;1120301;;;;x
Barcelos;  1 704;   893;   95;   74;   22;   69;   10;   10;   1;   59;   10;;1120302;;;;x
Braga;  12 718;  7 773;   443;   170;   327;   413;   77;   68;   13;   328;   39;;1120303;;;;x
Esposende;  1 093;   436;   31;   2;   6;   11;   0;   27;   4;   47;   20;;1120306;;;;x
Terras de Bouro;   81;   12;   2;   1;   1;   2;   0;   14;   0;   6;   0;;1120310;;;;x
Vila Verde;   760;   400;   27;   1;   8;   18;   0;   19;   4;   28;   4;;1120313;;;;x
   Ave;  6 803;  3 202;   337;   121;   107;   165;   58;   61;   9;   325;   28;;119;;;x;
Cabeceiras de Basto;   164;   31;   3;   1;   3;   3;   1;   7;   1;   22;   0;;1190304;;;;x
Fafe;   459;   235;   8;   10;   6;   13;   0;   10;   0;   48;   1;;1190307;;;;x
Guimarães;  2 686;  1 292;   71;   60;   59;   88;   38;   18;   1;   84;   7;;1190308;;;;x
Mondim de Basto;   69;   32;   1;   0;   0;   2;   0;   1;   0;   10;   1;;1191705;;;;x
Póvoa de Lanhoso;   337;   132;   7;   15;   28;   3;   1;   4;   0;   33;   0;;1190309;;;;x
Vieira do Minho;   146;   44;   2;   0;   0;   2;   0;   5;   3;   13;   0;;1190311;;;;x
Vila Nova de Famalicão;  2 678;  1 270;   242;   33;   11;   51;   17;   15;   4;   101;   19;;1190312;;;;x
Vizela;   264;   166;   3;   2;   0;   3;   1;   1;   0;   14;   0;;1190314;;;;x
   A. M. Porto;  57 970;  28 664;  1 842;  1 072;   507;  1 957;   477;  1 021;   109;  2 748;   426;;11A;;;x;
Arouca;   126;   69;   1;   0;   1;   1;   2;   5;   0;   7;   3;;11A0104;;;;x
Espinho;   857;   304;   45;   6;   26;   13;   0;   13;   0;   55;   5;;11A0107;;;;x
Gondomar;  3 239;  1 747;   99;   84;   52;   141;   27;   35;   6;   136;   57;;11A1304;;;;x
Maia;  3 796;  2 200;   232;   94;   33;   116;   29;   43;   2;   105;   20;;11A1306;;;;x
Matosinhos;  6 311;  3 441;   139;   92;   29;   119;   35;   164;   6;   251;   38;;11A1308;;;;x
Oliveira de Azeméis;  1 094;   519;   106;   6;   32;   23;   13;   12;   2;   30;   0;;11A0113;;;;x
Paredes;   961;   469;   47;   4;   5;   34;   1;   3;   3;   39;   0;;11A1310;;;;x
Porto;  18 936;  8 303;   202;   502;   131;   530;   197;   497;   35;   536;   124;;11A1312;;;;x
Póvoa de Varzim;  2 550;  1 434;   101;   14;   16;   35;   6;   20;   1;   231;   2;;11A1313;;;;x
Santa Maria da Feira;  2 081;   861;   155;   38;   45;   65;   4;   16;   10;   91;   71;;11A0109;;;;x
Santo Tirso;   647;   293;   36;   4;   8;   24;   5;   4;   2;   65;   2;;11A1314;;;;x
São João da Madeira;  1 024;   562;   90;   5;   8;   30;   2;   5;   5;   51;   5;;11A0116;;;;x
Trofa;   776;   373;   92;   6;   3;   15;   0;   1;   4;   27;   38;;11A1318;;;;x
Vale de Cambra;   460;   293;   43;   2;   6;   7;   1;   5;   0;   18;   7;;11A0119;;;;x
Valongo;  1 774;  1 050;   98;   24;   12;   52;   4;   15;   4;   59;   15;;11A1315;;;;x
