II.1.8 -Mulheres dos 18 aos 49 anos, por fecundidade final esperada, realizada, intencional, desejada e número ideal de filhos (em sentido lato) numa família, por escalão de número de filhos e NUTS II, 2019;;;;;;;;;;;;
II.1.8 - Women aged 18 to 49 years according to expected, achieved, intentional, desired fertility and ideal number of children (in a broad sense) in a family, by size class of number of children and NUTS II, 2019;;;;;;;;;;;;
Unidade: milhares de mulheres;;;;;;;;;Unit: thousands of women;;;
;Portugal;Norte;Centro;A.M. Lisboa;Alentejo;Algarve;R.A. Açores;R.A. Madeira;;;;
Total;2 119,4; 753,1; 436,8; 593,3; 133,2; 89,6; 56,6; 56,9;Total;;;
Fecundidade realizada;;;;;;;;;Achieved Fertility;;;
0 filhos; 895,3; 319,1; 175,5; 261,5; 54,7; 35,1; 23,3; 26,0;0 children;;;
1 filho; 533,5; 197,2; 100,1; 148,4; 32,5; 28,6; 13,0; 13,6;1 child;;;
2 filhos; 563,5; 199,9; 133,2; 142,1; 41,0; 21,4; 13,8; 12,1;2 children;;;
3 ou + filhos; 127,1; 36,8; 28,0; 41,3;x;x; 6,5; 5,2;3 or more children;;;
Fecundidade intencional;;;;;;;;;Intentional fertility;;;
0 filhos;1 168,1; 412,8; 250,0; 315,6; 75,1; 49,6; 34,1; 30,9;0 children;;;
1 filho; 284,4; 88,8; 60,7; 86,8; 16,1; 13,2; 8,4; 10,4;1 child;;;
2 filhos; 402,0; 153,8; 81,5; 101,1; 27,1; 16,6; 9,8; 11,9;2 children;;;
3 ou + filhos; 121,7; 47,7; 17,2; 44,2;x;x;x;x;3 or more children;;;
Não sabe; 143,2; 49,9; 27,4; 45,6;x;x;x;x;Doesn't know;;;
Fecundidade final esperada;;;;;;;;;Expected Fertility;;;
0 filhos; 177,1; 53,7; 32,5; 59,6; 10,1; 8,2; 7,1; 5,9;0 children;;;
1 filho; 523,4; 196,8; 105,3; 137,0; 32,8; 22,4; 13,4; 15,7;1 child;;;
2 filhos;1 027,8; 371,3; 229,6; 263,4; 70,0; 44,5; 23,8; 25,1;2 children;;;
3 ou + filhos; 304,9; 103,4; 53,2; 104,0; 13,4; 10,4; 10,6; 9,8;3 or more children;;;
Não tem filhos e não sabe se quer ter; 86,2; 27,9;x; 29,2;x;x;x;x;Doesn't have children and doesn't know if intends to have;;;
Fecundidade desejada;;;;;;;;;Desired fertility;;;
0 filhos; 146,3; 47,3; 30,2; 44,0; 8,1; 6,2; 6,2; 4,4;0 children;;;
1 filho; 215,1; 74,2; 46,9; 51,4; 16,9; 10,7; 8,0; 7,1;1 child;;;
2 filhos;1 021,8; 370,8; 230,2; 250,2; 68,2; 47,0; 26,2; 29,2;2 children;;;
3 ou + filhos; 637,9; 228,6; 105,8; 219,1; 32,6; 21,5; 14,3; 16,0;3 or more children;;;
Não sabe; 98,3; 32,1;x;x;x;x;x;x;Doesn't know;;;
Número ideal de filhos (em sentido lato) numa família;;;;;;;;;Ideal number of children (in a broad sense) in a family;;;
0 filhos;x;x;x;x;x;x;x;x;0 children;;;
1 filho; 30,3;x;x;x;x;x;x;x;1 child;;;
2 filhos;1 229,1; 426,2; 281,5; 315,7; 84,9; 56,9; 34,1; 29,8;2 children;;;
3 filhos; 641,2; 254,0; 115,4; 179,4; 35,6; 21,8; 15,6; 19,4;3 children;;;
4 ou + filhos; 123,5; 34,5;x; 54,3; 4,5; 3,5; 3,8; 6,7;4 or more children;;;
Não sabe/não tem opinião; 94,3; 28,9; 16,5; 37,5;x;x;x;x;Doesn't know/ has no opinion;;;
;Portugal;Norte;Centro;A.M. Lisboa;Alentejo;Algarve;R.A. Açores;R.A. Madeira;;;;
© INE, I.P., Portugal, 2022. Informação disponível até 14 de outubro de 2022. Information available till 14th October, 2022.;;;;;;;;;;;;
Fonte: INE, Inquérito à Fecundidade 2019.;;;;;;;;;;;;
Source: Statistics Portugal, Fertility Survey 2019.;;;;;;;;;;;;
