II.1.9 -Mulheres dos 18 aos 49 anos e Homens dos 18 aos 54 anos, por fecundidade final esperada, realizada, intencional e desejada, por escalão de número de filhos e residência em áreas urbanas ou não urbanas, 2019;;;;;;;;;
II.1.9 - Women aged 18 to 49 years and Men aged 18 to 54 years according to expected, achieved, intentional and desired fertility, by size class of number of children and residence in urban or non-urban areas, 2019;;;;;;;;;
Unidade: milhares de pessoas;;;;;;;Unit: thousands persons;;
;Mulheres dos 18 aos 49 anos;;;Homens dos 18 aos 54 anos;;;;;
;Total;Áreas urbanas;Áreas não urbanas;Total;Áreas urbanas;Áreas não urbanas;;;
Total;2 119,4;1 581,8; 537,6;2 368,8;1 764,8; 604,0;Total;;
Fecundidade realizada;;;;;;;Achieved Fertility;;
0 filhos; 895,3; 678,1; 217,2;1 276,3; 941,2; 335,1;0 children;;
1 filho; 533,5; 414,3; 119,2; 501,8; 375,6; 126,1;1 child;;
2 filhos; 563,5; 398,8; 164,7; 493,7; 374,6; 119,0;2 children;;
3 ou + filhos; 127,1; 90,6; 36,5; 97,1; 73,3;x;3 or more children;;
Fecundidade intencional;;;;;;;Intentional fertility;;
0 filhos;1 168,1; 861,6; 306,6;1 119,5; 841,4; 278,1;0 children;;
1 filho; 284,4; 224,2; 60,2; 363,1; 281,0; 82,1;1 child;;
2 filhos; 402,0; 298,4; 103,6; 594,8; 416,8; 178,1;2 children;;
3 ou + filhos; 121,7; 91,9; 29,8; 95,4; 78,8;x;3 or more children;;
Não sabe; 143,2; 105,8; 37,5; 196,0; 146,9;x;Doesn't know;;
Fecundidade final esperada;;;;;;;Expected Fertility;;
0 filhos; 177,1; 147,2; 29,9; 259,8; 202,0; 57,8;0 children;;
1 filho; 523,4; 402,4; 121,0; 607,8; 451,4; 156,4;1 child;;
2 filhos;1 027,8; 742,0; 285,8;1 113,6; 806,7; 306,9;2 children;;
3 ou + filhos; 304,9; 230,6; 74,2; 253,7; 204,7; 49,0;3 or more children;;
Não tem filhos e não sabe se quer ter; 86,2; 59,5; 26,7; 133,8; 100,0;x;Doesn't have children and doesn't know if intends to have;;
Fecundidade desejada;;;;;;;Desired fertility;;
0 filhos; 146,3; 116,5; 29,8; 167,9; 129,6; 38,3;0 children;;
1 filho; 215,1; 162,8; 52,3; 298,4; 244,8; 53,6;1 child;;
2 filhos;1 021,8; 743,8; 277,9;1 208,4; 878,7; 329,7;2 children;;
3 ou + filhos; 637,9; 486,2; 151,6; 533,9; 398,2; 135,7;3 or more children;;
Não sabe; 98,3; 72,4;x; 160,2; 113,5; 46,7;Doesn't know;;
;Women aged 18 to 49;;;Men aged 18 to 54;;;;;
;Total;Urban areas;Non-urban areas;Total;Urban areas;Non-urban areas;;;
© INE, I.P., Portugal, 2022. Informação disponível até 14 de outubro de 2022. Information available till 14th October, 2022.;;;;;;;;;
Fonte: INE, Inquérito à Fecundidade 2019.;;;;;;;;;
Source: Statistics Portugal, Fertility Survey 2019.;;;;;;;;;
"Nota: Por questões de arredondamento, os totais podem não corresponder à soma das parcelas. 
Na Fecundidade Intencional: A categoria ""Não sabe"" abrange os casos em que a pessoa indicou não saber se quer ter (ter mais) filhos ou quantos filhos pretende ter no futuro, independentemente da existência de uma gravidez atual.
Na Fecundidade Final Esperada: 
 - A categoria ""Não tem filhos e não sabe se quer ter"" abrange os casos em que a pessoa não tem filhos e não existia uma gravidez atual e indicou não saber se quer ter (ter mais) filhos ou quantos filhos pretende ter no futuro (categoria “Não sabe” na fecundidade intencional). 
 - Os casos em que a pessoa tem filhos e/ou existia uma gravidez atual, e indicou não saber a intenção de ter mais filhos ou quantos filhos pretendia ter no futuro (categoria ""Não sabe"" na fecundidade intencional), foram tratados como não tendo intenção de ter mais filhos. Nestes casos, a Fecundidade Final Esperada corresponde à Fecundidade Realizada (incluindo a gravidez atual, caso se aplique).
As “áreas urbanas” correspondem às freguesias classificadas como Área Predominantemente Urbana (APU) e as “áreas não urbanas” correspondem às freguesias classificadas como Área Medianamente Urbana (AMU) ou Área Predominantemente Rural (APR) da Tipologia de áreas urbanas. A Tipologia de áreas urbanas, para fins estatísticos, corresponde à versão aprovada pela 39.ª (2014) deliberação da Secção Permanente de Coordenação Estatística do Conselho Superior de Estatística, publicada no Diário da República, 2ª série, n.º 144, de 29 de julho de 2014 (TIPAU 2014).";;;;;;;;;
"Note: For rounding reasons, the totals may not correspond to the sum of the parcels. 
In Intentional Fertility: The category ""Doesn't know"" covers cases where the person indicated not knowing if wants to have (more) children or how many children intends to have in the future, regardless of the existence of a current pregnancy.
In Expected Fertility: 
 - The category ""Doesn't have children and doesn't know if intends to have"" covers cases where the person has no children and there was no current pregnancy and indicated not knowing if wants to have (more) children or how many children intends to have in the future (""Doesn't know"" category in intentional fertility). 
 - Cases where the person has children and/or there was a current pregnancy, and indicated not knowing if wants to have more children or how many children intended to have in the future (""Don't know"" category in intentional fertility), were treated as not intending to have more children. In these cases, Expected Final Fertility corresponds to Achieved Fertility (including current pregnancy, if applicable).
The ""urban areas"" correspond to the parishes classified as Predominantly Urban Area (PUA) and the ""non-urban areas"" correspond to the parishes classified as Medium Urban Area (MUA) or Predominantly Rural Area (PRA) of the Urban Areas Typology. The Classification of urban areas corresponds to the version approved by the 39th (2014) resolution of the Standing Section of Statistical Coordination of the Statistical Council, published in the Diário da República (Portuguese Official Gazette), 2nd series, no. 144, of July 29th, 2014 (TIPAU 2014).";;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
