Glossário - Siglas e abreviaturas;;;;;;;;
Glossary - Acronyms and abbreviations;;;;;;;;
;;;;;;;;
;Siglas e abreviaturas;;;Acronyms and abbreviations;;Países/Estados Membros da EU;;Countries/Member States
;Aliança;A;;Alliance;;Áustria;AT;Austria
;Autoridade Nacional de Comunicações;ANACOM;;National Communication Authority;;Bélgica;BE;Belgium
;Administrações Públicas;AP;;General Government;;Bulgária;BG;Bulgaria
;Área mediamente urbana;AMU /  MUA;;Medium urban area;;Chipre;CY;Cyprus
;Área predominantemente rural;APR /PRA;;Predominantly rural area  ;;República Checa;CZ;Czech Republic
;Área predominantemente urbana;APU / PUA;;Predominantly urban area  ;;Alemanha;DE;Germany
;Caixa Automático;ATM;;Automated Teller Machine;;Dinamarca;DK;Denmark
;Bloco de Esquerda;BE;;Left Block;;Estónia;EE;Estonia
;Classificação das Atividades Económicas;CAE;;Portuguese Classification of Economic Activities;;Grécia;GR;Greece
;Centro Democrático Social – Partido Popular;CDS-PP;;Democratic Social Centre – Popular Party;;Espanha;ES;Spain
;Classificação internacional tipo da educação;CITE;ISCED;International standard classification of education;;Finlândia;FI;Finland
;CHEGA;CH;;ENOUGH;;França;FR;France
;Custo das Mercadorias Vendidas e das Matérias Consumidas;CMVMC;;Cost of Goods Sold and Material Consumed;;Croácia;HR;Croatia
;Classificação do Consumo Individual por Objetivo;COICOP;;Classification of Individual Consumption by Purpose;;Hungria;HU;Hungary
;Ciência e Tecnologia;C&T;S&T;Science and Technology;;Irlanda;IE;Ireland
;Denominação de Origem Protegida;DOP;PDO;Protected Designation of Origin;;Itália;IT;Italy
;Energia de Portugal;EDP;;Portugal Energy;;Lituânia;LT;Lithuania
;Empresa pública;E.P.;;Public enterprise;;Luxemburgo;LU;Luxembourg
;Equivalente a tempo integral;ETI;FTE;Full time equivalent;;Letónia;LV;Latvia
;Excedente bruto de exploração;EBE;;Gross operating surplus;;Malta;MT;Malta
;Serviço de Estatística da União Europeia;Eurostat;;Statistical Office of the European Union;;Países Baixos;NL;Netherlands
;Formação Bruta de Capital Fixo;FBCF ;GFCF;Gross Fixed Capital Formation;;Polónia;PL;Poland
;Fornecimentos e Serviços Externos;FSE;;Supplies and External Services;;Portugal;PT;Portugal
;Homem;H;M;Male;;Roménia;RO;Romania
;Total (Homem Mulher);HM;MF;Total (Male Female);;Suécia;SE;Sweden
;Índice de Massa Corporal;IMC;BMI;Body Mass Index;;Eslovénia;SI;Slovenia
;Iniciativa Liberal;IL;;Liberal Initiative;;Eslováquia;SK;Slovakia
;Instituto Nacional de Estatística, I.P.;INE, I.P.;;Statistics Portugal;;;;
;Imposto Municipal sobre Imóveis;IMI;;Municipal real estate tax;;;;
;Imposto Municipal sobre as Transmissões Onerosas de Imóveis;IMT;;Municipal tax for onerous transfer of real estate;;;;
;Instituto público;I.P.;;Public institute;;;;
;Instituto Português do Mar e da Atmosfera, I.P..;IPMA;;Portuguese Sea and Atmosphere Institute.;;;;
;Imposto sobre o rendimento das pessoas singulares;IRS;;Income Tax of Natural Persons;;;;
;Instituições sem Fim Lucrativo ao Serviço das Famílias;ISFLSF;NPISH;Non-profit Institutions Serving Households;;;;
;Imposto único de circulação;IUC;;Single circulation tax;;;;
;Investigação e Desenvolvimento;I&D;R&D;Research and Development;;;;
;LIVRE;L;;FREE;;;;
;Mulher;M;F;Female ;;;;
;Partido da Terra;MPT;;Earth Party;;;;
;Classificação das Atividades Económicas na UE;NACE;;Statistical Classification of Economic Activities in the EU;;;;
;Nomenclatura das Unidades Territoriais para Fins Estatísticos;NUTS;;Nomenclature of Territorial Units for Statistics;;;;
;Nomenclatura Combinada;NC;;Combined Nomenclature;;;;
;Gás de Petróleo Liquefeito;GPL;LPG;Liquefied petroleum gas;;;;
;Países Africanos de Língua Oficial Portuguesa;PALOP;;Portuguese-speaking african countries;;;;
;Pessoas-Animais-Natureza;PAN;;People-Animals-Nature;;;;
;Partido Comunista Português – Partido Ecologista Os Verdes;PCP-PEV;;Portuguese Communist Party – Green Ecologist Party;;;;
;Plano Diretor Municipal;PDM;;Municipal Master Plan;;;;
;Plano Especial do Ordenamento do Território;PEOT;;Special Spatial Planning Instruments;;;;
;Plano Municipal de Ordenamento do Território;PMOT;;Municipal Spatial Planning Plan;;;;
;Produto Interno Bruto;PIB;GDP;Gross Domestic Product;;;;
;Partido Popular Democrático /Partido Social Democrata;PPD/PSD;;Democratic Popular Party – Social Democratic Party;;;;
;Partido Popular Monárquico;PPM;;People's Monarchist Party;;;;
;Partido Socialista;PS;;Socialist Party;;;;
;Região Autónoma;R.A.;;Autonomous Region;;;;
;Rendimento Disponível Bruto;RDB;GDI;Gross Domestic Income;;;;
;Rendimento Nacional Bruto;RNB;GNI;Gross National Income;;;;
;Superfície Agrícola Utilizada;SAU;UAA;Utilized agricultural area;;;;
;Sistema Europeu de Contas;SEC;ESA;European System of Integrated Accounts;;;;
;Trabalhador por conta de Outrem;TCO;;Employee;;;;
;Tecnologias de Informação e Comunicação;TIC;ICT;Information and Communication Technologies;;;;
;União Europeia;UE;EU;European Union;;;;
;Unidade Trabalho Ano;UTA;AWU;Annual Work Unit;;;;
;Valor Acrescentado Bruto;VAB;GVA;Gross Value Added;;;;
;Valor Acrescentado Bruto a preços de mercado;VABpm ;GVAmp ;Gross Value Added at market prices;;;;
