id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
41339,Rental unit in Porto · ★4.70 · 1 bedroom · 3 beds · 1 bath,180050,Paula,PORTO,Lordelo do Ouro e Massarelos,41.1501,-8.66035,Entire home/apt,58,2,20,2022-07-28,0.16,1,147,2,29049/AL
55111,Rental unit in Paredes Municipality · ★4.80 · 2 bedrooms · 5 beds · 1 bath,259711,Isabel E João,PAREDES,Cete,41.17481,-8.35362,Entire home/apt,66,3,15,2022-08-29,0.16,3,0,1,7563/AL
759702,Rental unit in Porto · ★4.54 · 1 bedroom · 2 beds · 1 bath,3944088,Estudios,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14755,-8.61742,Entire home/apt,64,3,164,2023-05-28,1.28,7,341,12,19288/AL
411572,Tiny home in Vila Nova de Gaia · ★5.0 · 2 beds · 1 bath,2048592,Maria,VILA NOVA DE GAIA,São Félix da Marinha,41.03993,-8.64003,Entire home/apt,67,2,3,2022-08-31,0.03,1,313,2,
73828,Rental unit in Estação · ★4.83 · 2 bedrooms · 4 beds · 1 bath,259711,Isabel E João,PAREDES,Cete,41.17449,-8.35426,Entire home/apt,66,5,12,2022-08-22,0.12,3,0,4,7563/AL
424705,Rental unit in Porto · ★4.86 · 2 bedrooms · 2 beds · 1 bath,1630185,Ox,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14267,-8.61718,Entire home/apt,150,2,60,2023-04-24,0.45,15,315,9,5929/AL
429790,Rental unit in Matosinhos · ★4.64 · 1 bedroom · 1 bed · 1 bath,2136541,Maria,MATOSINHOS,Matosinhos e Leça da Palmeira,41.20043,-8.70667,Entire home/apt,38,4,139,2023-05-25,1.16,1,80,18,
764471,Rental unit in Porto · ★4.79 · 1 bedroom · 2 beds · 1 bath,4030159,Dalila,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1447,-8.60541,Entire home/apt,60,2,561,2023-05-29,4.37,1,221,73,132540/AL
86388,Rental unit in Porto · ★4.76 · 1 bedroom · 1 bed · 2 shared baths,185209,João,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14918,-8.60922,Private room,45,2,230,2023-05-30,1.56,8,231,56,
437772,Rental unit in Povoa de Varzim · ★4.36 · 3 bedrooms · 5 beds · 2 baths,2174759,Patricia,VILA DO CONDE,Vila do Conde,41.37035,-8.762,Entire home/apt,95,2,73,2023-05-29,0.55,1,305,5,12467/AL
87873,Rental unit in Porto · ★4.78 · 2 bedrooms · 2 beds · 1.5 baths,480980,Paula,PORTO,Bonfim,41.15786,-8.60427,Entire home/apt,80,3,230,2023-05-31,1.70,4,248,23,634/AL
450872,Rental unit in Porto · ★4.30 · 1 bedroom · 2 beds · 1 bath,364783572,GuestReady,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14267,-8.61356,Entire home/apt,63,1,417,2023-06-05,3.13,206,336,41,55201/AL
769605,Rental unit in Porto · ★4.60 · 1 bedroom · 1 bed · 1 bath,3163699,Sónia,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14283,-8.60787,Entire home/apt,65,3,55,2023-06-11,0.49,2,283,15,
780430,Loft in Porto · ★4.70 · 1 bedroom · 3 beds · 1 bath,4115877,Bruno,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14195,-8.61844,Entire home/apt,125,2,21,2021-12-05,0.17,3,163,0,52937/AL
780538,Loft in Porto · ★4.86 · 2 bedrooms · 5 beds · 1 bath,4115877,Bruno,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.14008,-8.62086,Entire home/apt,170,2,44,2023-04-09,0.35,3,132,3,52937/AL
91439,Rental unit in Porto · ★4.78 · 1 bedroom · 1 bed · 2 shared baths,185209,João,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14908,-8.60905,Private room,43,2,213,2023-05-29,1.44,8,243,38,
