Description,Score,Facilities,District,Neighbourhood,Room type,Price,Minimum nights,Host name,Number of reviews,Last review,Latitude,Longitude
Rental unit in madrid,★4.87,"1 bedroom, 1 bed, 1 private bath",Chamartín,Hispanoamérica,Private room,90,4,Simon,104,2023-05-31 00:00:00,40.45724,-3.67688
Rental unit in madrid,★4.58,"1 bedroom, 1 bed, 1 bath",Latina,Cármenes,Private room,31,4,Abdel,33,2018-07-15 00:00:00,40.40381,-3.7413
Casa particular in madrid,★4.71,"1 bedroom, 1 bed, 1.5 baths",Chamberí,Almagro,Private room,47,3,Alejandro,33,2023-06-05 00:00:00,40.434551,-3.698387
Rental unit in madrid,★4.90,"6 bedrooms, 1 bed, 1 bath",Centro,Universidad,Entire home/apt,92,5,Alvaro,29,2023-05-23 00:00:00,40.42183,-3.70529
Guest suite in madrid,★5.0,"1 bedroom, 1 bed, 1 shared bath",Carabanchel,Comillas,Private room,30,2,Agata,10,2023-05-21 00:00:00,40.39032,-3.71382
Home in madrid,★4.72,"1 bedroom, 1 bed, 1 private bath",Arganzuela,Legazpi,Private room,29,3,Maria,194,2023-05-16 00:00:00,40.38975,-3.69018
Rental unit in madrid,★4.56,"1 bedroom, 1 bed, 1 bath",Centro,Universidad,Entire home/apt,98,3,Mad4Rent,77,2023-06-03 00:00:00,40.42548,-3.7042
Rental unit in madrid,★4.54,"1 bedroom, 1 bed, 1 bath",Centro,Sol,Entire home/apt,104,3,Mad4Rent,91,2023-05-10 00:00:00,40.41592,-3.70177
Rental unit in madrid,★Unknown,"2 bedrooms, 2 beds, 2 baths",Moncloa - Aravaca,Argüelles,Entire home/apt,91,10,Luisa,2,2022-07-17 00:00:00,40.42689,-3.71552
Rental unit in madrid,★Unknown,"3 bedrooms, 3 beds, 2 shared baths",Fuencarral - El Pardo,La Paz,Private room,15,30,Artur,0,,40.48503,-3.69858
Rental unit in madrid,★4.63,"1 bedroom, 2 beds, 1 bath",Centro,Sol,Entire home/apt,65,5,Dana,172,2022-09-26 00:00:00,40.41476,-3.70418
Rental unit in madrid,★4.93,"2 bedrooms, 4 beds, 1 bath",Centro,Palacio,Entire home/apt,160,3,Jose Manuel,150,2023-05-10 00:00:00,40.40869,-3.71073
Loft in madrid,★4.38,"1 bedroom, 1 bed, 1 bath",Centro,Embajadores,Entire home/apt,54,3,Angela,8,2017-05-30 00:00:00,40.41259,-3.70105
Rental unit in madrid,★4.60,"1 bedroom, 1 bed, 1.5 baths",Centro,Universidad,Entire home/apt,50,30,Julio And Sarah,289,2023-05-24 00:00:00,40.42123,-3.70133
Rental unit in madrid,★4.57,"1 bedroom, 1 bed, 1 bath",Centro,Palacio,Entire home/apt,94,3,Mad4Rent,61,2023-06-06 00:00:00,40.41941,-3.70823
Rental unit in madrid,★4.61,"1 bedroom, 2 beds, 1 bath",Centro,Justicia,Entire home/apt,99,2,Luis,134,2023-04-24 00:00:00,40.41969,-3.69736
Rental unit in madrid,★4.75,"1 bedroom, 2 beds, 1 bath",Centro,Embajadores,Entire home/apt,76,4,Rodrigo,44,2023-04-30 00:00:00,40.41018,-3.70164
Rental unit in madrid,★4.16,"1 bedroom, 1 bed, 1 bath",Centro,Universidad,Entire home/apt,109,3,Mad4Rent,50,2022-09-25 00:00:00,40.42359,-3.70537
Rental unit in madrid,★4.65,"1 bedroom, 3 beds, 1 bath",Centro,Universidad,Entire home/apt,90,5,Dana,49,2021-12-11 00:00:00,40.42247,-3.70577
Rental unit in madrid,★4.55,"1 bedroom, 1 bed, 1 bath",Centro,Sol,Entire home/apt,94,3,Mad4Rent,168,2023-06-07 00:00:00,40.41628,-3.70364
Condo in madrid,★4.83,"2 bedrooms, 2 beds, 2 baths",Salamanca,Goya,Entire home/apt,138,10,Sergio,61,2023-05-12 00:00:00,40.42792,-3.67682
Rental unit in madrid,★4.40,"1 bedroom, 1 bed, 2 shared baths",San Blas - Canillejas,Rosas,Private room,123,3,Jesús,17,2021-12-09 00:00:00,40.43202,-3.60353
Rental unit in madrid,★4.60,"1 bedroom, 2 beds, 1.5 shared baths",Centro,Justicia,Private room,58,1,Arturo,161,2023-05-23 00:00:00,40.41884,-3.69655
Rental unit in madrid,★4.48,"1 bedroom, 1 bed, 1 bath",Chamberí,Trafalgar,Entire home/apt,98,3,Mad4Rent,21,2023-04-29 00:00:00,40.43271,-3.70156
Rental unit in madrid,★4.28,"1 bedroom, 1 bed, 1 bath",Centro,Universidad,Entire home/apt,80,28,Raquel,30,2023-05-05 00:00:00,40.42252,-3.7025
Rental unit in madrid,★4.33,"1 bedroom, 2 beds, 1 bath",Centro,Universidad,Entire home/apt,68,28,Raquel,28,2023-05-20 00:00:00,40.42252,-3.7025
Rental unit in madrid,★4.65,"1 bedroom, 1 bed, 1 bath",Centro,Universidad,Entire home/apt,105,60,Ignacio,19,2022-12-26 00:00:00,40.42885,-3.70479
Rental unit in madrid,★4.60,"1 bedroom, 2 beds, 1 bath",Centro,Embajadores,Entire home/apt,80,8,Juan,5,2019-08-04 00:00:00,40.40864,-3.70884
Rental unit in madrid,★4.63,"1 bedroom, 2 beds, 1 bath",Centro,Embajadores,Entire home/apt,95,2,Gemma,206,2023-05-29 00:00:00,40.40655,-3.70629
Rental unit in madrid,★4.78,"1 bedroom, 1 bed, 1 bath",Salamanca,Recoletos,Entire home/apt,63,3,Mercedes,108,2017-11-29 00:00:00,40.42342,-3.68123
Rental unit in madrid,★4.68,"1 bedroom, 1 bed, 1 bath",Centro,Embajadores,Entire home/apt,80,7,Felipe,187,2021-09-29 00:00:00,40.40866,-3.70374
Loft in madrid,★4.72,"1 bedroom, 2 beds, 1 bath",Retiro,Jerónimos,Entire home/apt,60,1,José & María,220,2022-01-26 00:00:00,40.40808,-3.68338
Rental unit in madrid,★4.91,"2 bedrooms, 4 beds, 1 bath",Centro,Embajadores,Entire home/apt,127,4,Joël,227,2023-06-05 00:00:00,40.41234,-3.70186
Rental unit in madrid,★4.82,"3 bedrooms, 3 beds, 1 bath",Centro,Embajadores,Entire home/apt,169,4,Vin,189,2023-05-13 00:00:00,40.40939,-3.69812
Rental unit in madrid,★4.84,"2 bedrooms, 1 bed, 1 shared bath",Centro,Cortes,Private room,60,3,Elvira,140,2023-05-29 00:00:00,40.41155,-3.69492
Rental unit in madrid,★4.91,"2 bedrooms, 3 beds, 1 bath",Ciudad Lineal,Concepción,Entire home/apt,91,1,Nieves,553,2023-06-03 00:00:00,40.44117,-3.64841
Loft in madrid,★4.81,"2 bedrooms, 3 beds, 1 bath",Centro,Palacio,Entire home/apt,160,3,Beatriz,236,2023-05-14 00:00:00,40.41358,-3.71353
Rental unit in madrid,★4.92,"2 bedrooms, 2 beds, 1.5 baths",Centro,Universidad,Entire home/apt,90,60,Moises&Cristina + Little Sophie&Eli,27,2023-01-14 00:00:00,40.42323,-3.70434
Rental unit in madrid,★4.51,"1 bedroom, 2 beds, 2 baths",Centro,Universidad,Private room,31,1,Charo,785,2023-06-02 00:00:00,40.42378,-3.70248
Rental unit in madrid,★5.0,"1 bedroom, 3 beds, 2 shared baths",Centro,Cortes,Shared room,84,2,Ruben,18,2023-05-03 00:00:00,40.41412,-3.70057
Rental unit in madrid,★4.67,"1 bedroom, 1 bed, 1 bath",Fuencarral - El Pardo,Valverde,Entire home/apt,60,2,Diana,3,2016-06-24 00:00:00,40.50044,-3.67032
Rental unit in madrid,★4.79,"1 bedroom, 1 bed, 1 shared bath",Latina,Puerta del Angel,Private room,31,4,Abdel,27,2018-07-27 00:00:00,40.40445,-3.7398
Rental unit in madrid,★4.76,"1 bedroom, 1 bed, 2 shared baths",San Blas - Canillejas,Arcos,Private room,45,5,Marina Y Danna,31,2023-02-11 00:00:00,40.426699,-3.616304
Rental unit in madrid,★Unknown,"1 bedroom, 1 bed, 1 shared bath",Ciudad Lineal,Pueblo Nuevo,Private room,21,3,Carlos Alberto,0,,40.43422,-3.64196
Rental unit in madrid,★4.57,"1 bedroom, 1 bed, 2 shared baths",San Blas - Canillejas,Arcos,Private room,45,5,Marina Y Danna,23,2023-03-06 00:00:00,40.42654,-3.615916
Rental unit in madrid,★4.58,"2 bedrooms, 3 beds, 2 baths",Chamberí,Almagro,Entire home/apt,120,2,Maria,257,2023-06-04 00:00:00,40.43815,-3.69764
Rental unit in madrid,★Unknown,"1 bedroom, 1 bed, 1 shared bath",Chamartín,Hispanoamérica,Private room,30,30,Elena,0,,40.45591,-3.68773
Rental unit in madrid,★4.58,"1 bedroom, 2 beds, 1 bath",Chamberí,Rios Rosas,Entire home/apt,85,2,Maria,146,2023-06-09 00:00:00,40.4382,-3.69389
Rental unit in madrid,★4.77,"1 bedroom, 2 beds, 1 shared bath",Centro,Palacio,Private room,32,1,Ulises,295,2023-06-08 00:00:00,40.41143,-3.70912
Rental unit in madrid,★4.68,"2 bedrooms, 2 beds, 1.5 baths",Centro,Palacio,Entire home/apt,164,4,Xuan,103,2023-04-20 00:00:00,40.41152,-3.70991
Rental unit in madrid,★4.91,"1 bedroom, 1 bed, 1 private bath",Centro,Embajadores,Private room,80,2,Angel,498,2023-06-06 00:00:00,40.41327,-3.70223
Rental unit in madrid,★4.66,"Studio, 2 beds, 1 bath",Centro,Embajadores,Entire home/apt,51,1,Ulises,653,2023-06-04 00:00:00,40.41001,-3.70704
Rental unit in madrid,★4.78,"1 bedroom, 1 bed, 1 bath",Centro,Embajadores,Private room,35,3,Jose Luis,157,2023-05-16 00:00:00,40.41012,-3.69709
Rental unit in madrid,★Unknown,"1 bedroom, 1 bed, 1 shared bath",Retiro,Pacífico,Private room,19,2,David,1,2012-08-04 00:00:00,40.4057,-3.67605
Rental unit in madrid,★4.94,"1 bedroom, 1 bed, 1 shared bath",Villaverde,Los Angeles,Private room,24,1,Cinthia,97,2022-10-30 00:00:00,40.35761,-3.69723
Rental unit in madrid,★4.72,"2 bedrooms, 4 beds, 1 bath",Centro,Sol,Entire home/apt,94,2,Óscar,704,2023-05-26 00:00:00,40.41604,-3.70834
Loft in madrid,★4.75,"1 bedroom, 2 beds, 1 bath",Chamberí,Trafalgar,Entire home/apt,65,90,Sonia,8,2019-03-17 00:00:00,40.43765,-3.70408
Rental unit in madrid,★4.90,"1 bedroom, 1 bed, 1 shared bath",Centro,Universidad,Private room,39,3,David,589,2023-05-28 00:00:00,40.42286,-3.70236
Chalet in madrid,★4.90,"1 bedroom, 1 bed, 1 private bath",Hortaleza,Piovera,Private room,65,1,Consuelo,43,2023-04-09 00:00:00,40.45575,-3.64912
Rental unit in madrid,★4.48,"2 bedrooms, 4 beds, 1 bath",Centro,Universidad,Entire home/apt,91,90,Rafael,190,2018-12-09 00:00:00,40.42386,-3.70489
Rental unit in madrid,★4.58,"Studio, 1 bed, 1 bath",Centro,Universidad,Entire home/apt,120,1,Gabriel Avalos,32,2023-04-19 00:00:00,40.42855453491211,-3.7027840614318848
Rental unit in madrid,★4.71,"1 bedroom, 1 bed, 1 bath",Centro,Palacio,Entire home/apt,81,3,Meyling,379,2023-05-20 00:00:00,40.41235,-3.70967
Home in madrid,★3.0,"5 bedrooms, 9 beds",Arganzuela,Delicias,Entire home/apt,70,3,Javier,3,2015-10-14 00:00:00,40.39317,-3.69358
Rental unit in madrid,★4.46,"1 bedroom, 1 bed, 1 bath",Centro,Embajadores,Entire home/apt,61,2,Ana,305,2023-05-26 00:00:00,40.40954,-3.70096
Rental unit in madrid,★4.89,"1 bedroom, 1 bed, 1 private bath",Centro,Embajadores,Private room,88,3,Henrietta,185,2023-06-06 00:00:00,40.41319,-3.7024
Rental unit in madrid,★4.94,"2 bedrooms, 3 beds, 1 bath",Retiro,Ibiza,Entire home/apt,106,6,Sylvia,167,2023-05-29 00:00:00,40.419,-3.67774
Rental unit in madrid,★Unknown,"2 bedrooms, 7 beds, 1 bath",Salamanca,Castellana,Entire home/apt,286,14,Maite,0,,40.43201,-3.68358
Rental unit in madrid,★4.86,"1 bedroom, 1 bed, 1 shared bath",Centro,Cortes,Private room,50,3,Belén,342,2023-05-23 00:00:00,40.41309,-3.69775
Rental unit in madrid,★4.85,"2 bedrooms, 2 beds, 2 baths",Centro,Cortes,Entire home/apt,180,6,Alex,102,2022-05-02 00:00:00,40.4152,-3.69668
Rental unit in madrid,★4.62,"3 bedrooms, 4 beds, 2 baths",Salamanca,Goya,Entire home/apt,120,14,Maribel,82,2023-05-02 00:00:00,40.42274,-3.66972
Condo in madrid,★4.93,"Studio, 1 bed, 1 bath",Centro,Universidad,Entire home/apt,90,30,Nuria,316,2023-05-23 00:00:00,40.42116,-3.70384
Rental unit in madrid,★4.56,"1 bedroom, 1 bed, 1 bath",Salamanca,Recoletos,Entire home/apt,131,1,Gabriel Avalos,34,2023-03-12 00:00:00,40.42297,-3.69095
Rental unit in madrid,★4.79,"1 bedroom, 1 bed, 1 shared bath",Centro,Embajadores,Private room,32,1,José,68,2023-06-09 00:00:00,40.41126,-3.70347
Rental unit in madrid,★4.33,"2 bedrooms, 2 beds, 1 bath",Centro,Embajadores,Entire home/apt,58,4,Wanda,216,2023-06-03 00:00:00,40.40683,-3.69932
Rental unit in madrid,★4.85,"1 bedroom, 2 beds, 1 bath",Centro,Embajadores,Entire home/apt,120,45,Susana,31,2021-11-28 00:00:00,40.40913,-3.699
Rental unit in madrid,★4.94,"1 bedroom, 1 bed, 1 shared bath",Hortaleza,Canillas,Private room,65,2,Jon,171,2023-05-30 00:00:00,40.45959,-3.64699
Rental unit in madrid,★4.88,"1 bedroom, 1 bed, 1 bath",Latina,Puerta del Angel,Private room,20,2,Pilar,195,2019-03-07 00:00:00,40.41016,-3.72863
Rental unit in madrid,★4.84,"2 bedrooms, 6 beds, 1 bath",Centro,Sol,Entire home/apt,251,3,Anouk,286,2023-05-24 00:00:00,40.41538,-3.70741
Rental unit in madrid,★4.55,"2 bedrooms, 1 shared bath",Tetuán,Cuatro Caminos,Private room,23,6,Jeanet,42,2023-05-18 00:00:00,40.447,-3.70291
Rental unit in madrid,★4.52,"3 bedrooms, 2 beds, 2 shared baths",Centro,Universidad,Private room,28,1,Charo,269,2023-06-07 00:00:00,40.42377,-3.70241
Rental unit in madrid,★Unknown,"1 bedroom, 1 bed, 2 baths",Chamberí,Trafalgar,Private room,30,3,Alfredo,0,,40.42993,-3.70339
Rental unit in madrid,★4.72,"1 bedroom, 1 bed, 1 shared bath",Chamberí,Arapiles,Private room,25,25,Eva,31,2020-03-07 00:00:00,40.43595,-3.70706
Rental unit in madrid,★4.28,"1 bedroom, 2 beds, Half-bath",Centro,Embajadores,Entire home/apt,69,10,Sergio,525,2023-05-13 00:00:00,40.4078,-3.70085
Home in madrid,★4.73,"2 bedrooms, 6 beds, 1 bath",Barajas,Casco Histórico de Barajas,Entire home/apt,93,1,Pilar,572,2023-05-29 00:00:00,40.4739,-3.57583
Rental unit in madrid,★4.72,"2 bedrooms, 3 beds, 1 bath",Centro,Universidad,Entire home/apt,138,2,Santiago,400,2023-06-04 00:00:00,40.42551,-3.70812
Rental unit in madrid,★5.0,"1 bedroom, 1 bed, 0 baths",Carabanchel,Opañel,Private room,40,30,Raquel,5,2018-10-05 00:00:00,40.39231,-3.72359
Home in madrid,★4.50,"2 bedrooms, 3 beds, 2 baths",Centro,Embajadores,Entire home/apt,190,2,Ane,5,2014-05-19 00:00:00,40.41151,-3.70257
Loft in madrid,★4.94,"1 bedroom, 1 bed, 1 bath",Centro,Palacio,Entire home/apt,214,3,Ana,66,2023-04-10 00:00:00,40.4158,-3.70962
Condo in madrid,★4.85,"1 bedroom, 1 bed, 1 private bath",Usera,San Fermín,Private room,46,4,Amparo,75,2023-05-08 00:00:00,40.36725,-3.68875
Rental unit in madrid,★4.60,"3 bedrooms, 8 beds, 1 bath",Centro,Sol,Entire home/apt,124,3,Anouk,167,2023-05-23 00:00:00,40.41428,-3.70767
Rental unit in madrid,★4.66,"2 bedrooms, 2 beds, 1.5 baths",Centro,Sol,Entire home/apt,164,1,Fernando,446,2023-05-31 00:00:00,40.41906,-3.70627
Condo in madrid,★4.86,"1 bedroom, 1 bed, 1 bath",Arganzuela,Chopera,Entire home/apt,94,4,Azucena,22,2023-06-09 00:00:00,40.39627,-3.69926
Rental unit in madrid,★4.84,"1 bedroom, 1 bed, 1 bath",Arganzuela,Palos de Moguer,Entire home/apt,85,3,Miguel,86,2022-10-18 00:00:00,40.40661,-3.6952
Rental unit in madrid,★4.41,"1 bedroom, 1 bed, 1 bath",Centro,Embajadores,Entire home/apt,91,14,Javier,38,2022-08-29 00:00:00,40.40743,-3.70114
Loft in madrid,★4.69,"4 bedrooms, 4 beds, 1.5 baths",Hortaleza,Valdefuentes,Entire home/apt,140,2,Angela Y Jaime,136,2021-05-21 00:00:00,40.47189,-3.62966
Condo in madrid,★4.57,"1 bedroom, 1 bed, 1 bath",Centro,Sol,Entire home/apt,106,30,Lara,7,2017-12-05 00:00:00,40.41596,-3.70846
Loft in madrid,★4.91,"1 bedroom, 1 bed, 1 bath",Centro,Universidad,Entire home/apt,134,1,Al,582,2023-05-28 00:00:00,40.42377853393555,-3.702780961990357
Rental unit in madrid,★Unknown,"1 bedroom, 2 beds, 1 bath",Salamanca,Castellana,Entire home/apt,110,30,Raúl,2,2013-09-19 00:00:00,40.4312,-3.68502
Loft in madrid,★4.76,"2 bedrooms, 3 beds, 1 bath",Hortaleza,Valdefuentes,Entire home/apt,120,2,Angela Y Jaime,124,2023-04-09 00:00:00,40.47142,-3.62881
Rental unit in madrid,★4.73,"1 bedroom, 3 beds, 1 bath",Centro,Embajadores,Entire home/apt,122,3,Jose Antonio,65,2023-04-01 00:00:00,40.412682,-3.702548
Rental unit in madrid,★4.32,"2 bedrooms, 2 beds, 1 bath",Tetuán,Berruguete,Private room,24,2,Patricia,68,2023-05-10 00:00:00,40.457,-3.70436
Home in madrid,★4.87,"1 bedroom, 1 bed, 1 shared bath",Latina,Lucero,Private room,32,4,Ivaylo,228,2023-05-30 00:00:00,40.40743,-3.74293
