Place of residence at Census date [2021] (NUTS - 2013);S7A2021:2021-T:MF-T:Total;S7A2021:2021-T:MF-1:0 - 14 years;S7A2021:2021-T:MF-2:15 - 24 years;S7A2021:2021-T:MF-3:25 - 64 years;S7A2021:2021-T:MF-4:65 and more years;S7A2021:2021-1:M-T:Total;S7A2021:2021-1:M-1:0 - 14 years;S7A2021:2021-1:M-2:15 - 24 years;S7A2021:2021-1:M-3:25 - 64 years;S7A2021:2021-1:M-4:65 and more years;S7A2021:2021-2:F-T:Total;S7A2021:2021-2:F-1:0 - 14 years;S7A2021:2021-2:F-2:15 - 24 years;S7A2021:2021-2:F-3:25 - 64 years;S7A2021:2021-2:F-4:65 and more years
0104:Arouca;21146;2674;2286;11155;5031;10170;1349;1112;5557;2152;10976;1325;1174;5598;2879
0107:Espinho;31043;3300;3126;15843;8774;14461;1636;1603;7522;3700;16582;1664;1523;8321;5074
1304:Gondomar;164257;20464;17759;90939;35095;77991;10416;9113;43135;15327;86266;10048;8646;47804;19768
1306:Maia;134977;18481;14792;75568;26136;64127;9430;7528;35798;11371;70850;9051;7264;39770;14765
1308:Matosinhos;172557;21634;16954;94467;39502;81225;11044;8619;44579;16983;91332;10590;8335;49888;22519
0113:Oliveira de Azeméis;66175;7679;6910;36317;15269;32020;3973;3433;17838;6776;34155;3706;3477;18479;8493
1310:Paredes;84354;11693;10690;48179;13792;40842;5955;5471;23302;6114;43512;5738;5219;24877;7678
1312:Porto;231800;26434;23236;121920;60210;106153;13466;11761;57423;23503;125647;12968;11475;64497;36707
1313:Póvoa de Varzim;64255;8527;7386;35120;13222;30238;4301;3790;16499;5648;34017;4226;3596;18621;7574
0109:Santa Maria da Feira;136674;17166;14870;76011;28627;65880;8813;7569;36889;12609;70794;8353;7301;39122;16018
1314:Santo Tirso;67709;7345;6995;36701;16668;32241;3730;3555;17658;7298;35468;3615;3440;19043;9370
0116:São João da Madeira;22143;2680;2336;12221;4906;10380;1394;1197;5707;2082;11763;1286;1139;6514;2824
1318:Trofa;38548;4820;4315;21732;7681;18473;2427;2188;10439;3419;20075;2393;2127;11293;4262
0119:Vale de Cambra;21269;2266;1992;11017;5994;10278;1192;1035;5417;2634;10991;1074;957;5600;3360
1315:Valongo;94672;12746;10313;53208;18405;44973;6551;5222;25202;7998;49699;6195;5091;28006;10407
1316:Vila do Conde;80825;11116;8623;44656;16430;38717;5718;4359;21570;7070;42108;5398;4264;23086;9360
1317:Vila Nova de Gaia;303824;38912;32061;167841;65010;144099;20004;16356;79308;28431;159725;18908;15705;88533;36579
