Place of residence at Census date [2021] (NUTS - 2013);S7A2021:2021-T:MF-T:Total;S7A2021:2021-T:MF-1:0 - 14 years;S7A2021:2021-T:MF-2:15 - 24 years;S7A2021:2021-T:MF-3:25 - 64 years;S7A2021:2021-T:MF-4:65 and more years;S7A2021:2021-1:M-T:Total;S7A2021:2021-1:M-1:0 - 14 years;S7A2021:2021-1:M-2:15 - 24 years;S7A2021:2021-1:M-3:25 - 64 years;S7A2021:2021-1:M-4:65 and more years;S7A2021:2021-2:F-T:Total;S7A2021:2021-2:F-1:0 - 14 years;S7A2021:2021-2:F-2:15 - 24 years;S7A2021:2021-2:F-3:25 - 64 years;S7A2021:2021-2:F-4:65 and more years
110106:Carnota;1565;169;142;790;464;778;97;79;393;209;787;72;63;397;255
110107:Meca;1617;205;176;825;411;776;103;82;407;184;841;102;94;418;227
110108:Olhalvo;1806;228;168;871;539;855;110;87;429;229;951;118;81;442;310
110109:Ota;1195;178;116;608;293;599;93;68;306;132;596;85;48;302;161
110117:União das freguesias de Abrigada e Cabanas de Torres;4157;504;406;2120;1127;2007;258;207;1058;484;2150;246;199;1062;643
110118:União das freguesias de Aldeia Galega da Merceana e Aldeia Gavinha;2911;347;274;1480;810;1396;170;135;736;355;1515;177;139;744;455
110119:União das freguesias de Alenquer (Santo Estêvão e Triana);12026;1973;1393;6570;2090;5823;1002;717;3164;940;6203;971;676;3406;1150
110120:União das freguesias de Carregado e Cadafais;14622;2525;1847;8318;1932;7119;1319;980;4000;820;7503;1206;867;4318;1112
110121:União das freguesias de Ribafria e Pereiro de Palhacana;1494;186;167;755;386;751;103;95;380;173;743;83;72;375;213
110113:Ventosa;2000;232;187;940;641;948;108;101;466;273;1052;124;86;474;368
110114:Vila Verde dos Francos;1049;116;82;556;295;526;58;44;288;136;523;58;38;268;159
110201:Arranhó;2584;390;302;1306;586;1273;205;159;648;261;1311;185;143;658;325
110202:Arruda dos Vinhos;9300;1628;1101;4981;1590;4551;839;607;2426;679;4749;789;494;2555;911
110203:Cardosas;819;105;88;399;227;396;55;41;198;102;423;50;47;201;125
110204:S. Tiago dos Velhos;1289;170;156;652;311;615;81;85;320;129;674;89;71;332;182
110401:Alguber;833;84;81;386;282;399;45;47;197;110;434;39;34;189;172
110407:Peral;890;83;94;450;263;457;48;55;221;133;433;35;39;229;130
110412:União das freguesias de Lamas e Cercal;3409;376;293;1625;1115;1649;197;154;810;488;1760;179;139;815;627
110413:União das freguesias de Painho e Figueiros;1730;180;166;873;511;834;97;73;422;242;896;83;93;451;269
110411:União das freguesias do Cadaval e Pêro Moniz;3697;500;400;1860;937;1725;240;213;872;400;1972;260;187;988;537
110409:Vermelha;1248;170;116;594;368;589;78;52;294;165;659;92;64;300;203
110410:Vilar;1565;142;158;712;553;764;77;82;357;248;801;65;76;355;305
110803:Moita dos Ferreiros;1671;218;164;801;488;815;103;88;386;238;856;115;76;415;250
110805:Reguengo Grande;1486;174;141;725;446;721;96;76;353;196;765;78;65;372;250
110810:Ribamar;2160;315;233;1170;442;1073;173;118;588;194;1087;142;115;582;248
110806:Santa Bárbara;2031;336;201;1045;449;977;179;92;504;202;1054;157;109;541;247
110812:União das freguesias de Lourinhã e Atalaia;12342;1664;1262;6371;3045;5878;834;659;3028;1357;6464;830;603;3343;1688
110813:União das freguesias de Miragaia e Marteleira;3479;408;360;1751;960;1732;218;195;863;456;1747;190;165;888;504
