Place of residence at Census date [2021] (NUTS - 2013);S7A2021:2021-T:MF-T:Total;S7A2021:2021-T:MF-1:0 - 14 years;S7A2021:2021-T:MF-2:15 - 24 years;S7A2021:2021-T:MF-3:25 - 64 years;S7A2021:2021-T:MF-4:65 and more years;S7A2021:2021-1:M-T:Total;S7A2021:2021-1:M-1:0 - 14 years;S7A2021:2021-1:M-2:15 - 24 years;S7A2021:2021-1:M-3:25 - 64 years;S7A2021:2021-1:M-4:65 and more years;S7A2021:2021-2:F-T:Total;S7A2021:2021-2:F-1:0 - 14 years;S7A2021:2021-2:F-2:15 - 24 years;S7A2021:2021-2:F-3:25 - 64 years;S7A2021:2021-2:F-4:65 and more years
010402:Alvarenga;1057;104;75;491;387;517;58;41;248;170;540;46;34;243;217
010407:Chave;1270;158;126;652;334;610;76;65;323;146;660;82;61;329;188
010409:Escariz;2111;265;263;1146;437;1046;132;128;590;196;1065;133;135;556;241
010411:Fermedo;1261;160;135;656;310;601;72;58;336;135;660;88;77;320;175
010413:Mansores;1100;165;118;614;203;539;84;61;309;85;561;81;57;305;118
010414:Moldes;1126;125;124;601;276;529;64;47;301;117;597;61;77;300;159
010415:Rossas;1491;200;149;779;363;733;103;80;386;164;758;97;69;393;199
010416:Santa Eulália;2120;271;246;1147;456;1029;137;127;563;202;1091;134;119;584;254
010417:São Miguel do Mato;550;71;64;280;135;268;38;33;149;48;282;33;31;131;87
010418:Tropeço;1086;149;113;590;234;511;67;59;287;98;575;82;54;303;136
010421:União das freguesias de Arouca e Burgo;5120;665;558;2734;1163;2402;332;263;1330;477;2718;333;295;1404;686
010422:União das freguesias de Cabreiros e Albergaria da Serra;185;17;14;76;78;85;9;7;38;31;100;8;7;38;47
010423:União das freguesias de Canelas e Espiunca;1064;126;132;563;243;516;65;68;281;102;548;61;64;282;141
010424:União das freguesias de Covelo de Paivó e Janarde;171;12;15;73;71;76;6;6;34;30;95;6;9;39;41
010419:Urrô;900;102;90;488;220;461;66;47;253;95;439;36;43;235;125
010420:Várzea;534;84;64;265;121;247;40;22;129;56;287;44;42;136;65
010702:Espinho;10432;1075;1040;5231;3086;4708;530;530;2414;1234;5724;545;510;2817;1852
010704:Paramos;3127;301;346;1611;869;1515;148;164;808;395;1612;153;182;803;474
010705:Silvalde;6108;665;603;3203;1637;2916;357;309;1563;687;3192;308;294;1640;950
010706:União das freguesias de Anta e Guetim;11376;1259;1137;5798;3182;5322;601;600;2737;1384;6054;658;537;3061;1798
130412:Baguim do Monte (Rio Tinto);14386;1834;1692;7920;2940;6765;899;846;3730;1290;7621;935;846;4190;1650
130405:Lomba;1284;88;145;666;385;613;44;70;327;172;671;44;75;339;213
130408:Rio Tinto;51083;6382;5332;28318;11051;23833;3195;2728;13175;4735;27250;3187;2604;15143;6316
130413:União das freguesias de Fânzeres e São Pedro da Cova;37753;4921;4254;21173;7405;18122;2561;2171;10129;3261;19631;2360;2083;11044;4144
130414:União das freguesias de Foz do Sousa e Covelo;7034;757;715;3803;1759;3400;378;381;1873;768;3634;379;334;1930;991
130415:União das freguesias de Gondomar (São Cosme), Valbom e Jovim;47422;5914;5011;26120;10377;22638;3044;2609;12416;4569;24784;2870;2402;13704;5808
130416:União das freguesias de Melres e Medas;5295;568;610;2939;1178;2620;295;308;1485;532;2675;273;302;1454;646
130601:Águas Santas;26632;3514;3073;14999;5046;12608;1775;1559;7035;2239;14024;1739;1514;7964;2807
130618:Castêlo da Maia;18587;2632;2023;10670;3262;8877;1311;1033;5084;1449;9710;1321;990;5586;1813
130619:Cidade da Maia;40534;5434;4492;22422;8186;19122;2723;2322;10548;3529;21412;2711;2170;11874;4657
130603:Folgosa;3605;525;378;2013;689;1769;270;190;994;315;1836;255;188;1019;374
130608:Milheirós;4762;671;505;2640;946;2301;368;244;1261;428;2461;303;261;1379;518
130609:Moreira;13093;1964;1334;7520;2275;6272;1013;657;3609;993;6821;951;677;3911;1282
130620:Nogueira e Silva Escura;8380;1278;944;4737;1421;4018;655;491;2260;612;4362;623;453;2477;809
130617:Pedrouços;11564;1430;1144;6338;2652;5367;739;564;2983;1081;6197;691;580;3355;1571
130613:São Pedro Fins;1816;243;211;969;393;892;141;112;465;174;924;102;99;504;219
130616:Vila Nova da Telha;6004;790;688;3260;1266;2901;435;356;1559;551;3103;355;332;1701;715
130811:União das freguesias de Custóias, Leça do Balio e Guifões;44045;5464;4489;23944;10148;21279;2791;2332;11699;4457;22766;2673;2157;12245;5691
130812:União das freguesias de Matosinhos e Leça da Palmeira;49034;6447;4787;26644;11156;22722;3237;2436;12365;4684;26312;3210;2351;14279;6472
130813:União das freguesias de Perafita, Lavra e Santa Cruz do Bispo;29646;3961;2822;16427;6436;14180;2023;1425;7870;2862;15466;1938;1397;8557;3574
130814:União das freguesias de São Mamede de Infesta e Senhora da Hora;49832;5762;4856;27452;11762;23044;2993;2426;12645;4980;26788;2769;2430;14807;6782
011301:Carregosa;3466;443;370;1922;731;1687;239;169;956;323;1779;204;201;966;408
011302:Cesar;3072;382;342;1716;632;1495;198;184;838;275;1577;184;158;878;357
011303:Fajões;2896;360;310;1571;655;1389;176;149;768;296;1507;184;161;803;359
011304:Loureiro;3638;463;363;2017;795;1797;257;172;1016;352;1841;206;191;1001;443
011305:Macieira de Sarnes;1856;204;193;983;476;901;109;86;487;219;955;95;107;496;257
011310:Ossela;1918;201;193;1014;510;917;94;96;506;221;1001;107;97;508;289
011315:São Martinho da Gândara;1854;217;170;991;476;896;109;86;486;215;958;108;84;505;261
011318:São Roque;5023;571;499;2774;1179;2457;312;235;1365;545;2566;259;264;1409;634
011320:União das freguesias de Nogueira do Cravo e Pindelo;5090;543;561;2828;1158;2472;270;293;1385;524;2618;273;268;1443;634
011321:União das freguesias de Oliveira de Azeméis, Santiago de Riba-Ul, Ul, Macinhata da Seixa e Madail;20665;2500;2173;11415;4577;9856;1267;1092;5522;1975;10809;1233;1081;5893;2602
011322:União das freguesias de Pinheiro da Bemposta, Travanca e Palmaz;6735;756;679;3734;1566;3315;399;350;1873;693;3420;357;329;1861;873
011319:Vila de Cucujães;9962;1039;1057;5352;2514;4838;543;521;2636;1138;5124;496;536;2716;1376
131001:Aguiar de Sousa;1582;186;189;899;308;772;95;94;449;134;810;91;95;450;174
131002:Astromil;1067;165;147;610;145;513;80;62;310;61;554;85;85;300;84
131003:Baltar;4720;650;518;2700;852;2255;311;273;1296;375;2465;339;245;1404;477
131004:Beire;2011;263;259;1162;327;970;122;142;559;147;1041;141;117;603;180
131008:Cete;3091;398;379;1788;526;1484;196;186;854;248;1607;202;193;934;278
131009:Cristelo;1761;268;253;969;271;858;150;122;469;117;903;118;131;500;154
131010:Duas Igrejas;3649;542;570;2046;491;1790;290;305;981;214;1859;252;265;1065;277
131011:Gandra;6966;1008;908;4118;932;3407;529;455;2020;403;3559;479;453;2098;529
131013:Lordelo;9106;1130;1138;5252;1586;4490;559;576;2659;696;4616;571;562;2593;890
131014:Louredo;1384;178;191;809;206;666;91;94;384;97;718;87;97;425;109
131017:Parada de Todeia;1792;250;218;1009;315;892;133;117;489;153;900;117;101;520;162
131025:Paredes;20586;3053;2518;11810;3205;9819;1574;1312;5520;1413;10767;1479;1206;6290;1792
131018:Rebordosa;8496;1159;1048;4785;1504;4093;582;535;2330;646;4403;577;513;2455;858
131019:Recarei;4479;558;526;2472;923;2170;285;266;1225;394;2309;273;260;1247;529
131020:Sobreira;4122;515;497;2391;719;2005;269;250;1161;325;2117;246;247;1230;394
131021:Sobrosa;2497;320;331;1354;492;1168;139;159;643;227;1329;181;172;711;265
131022:Vandoma;2306;342;313;1321;330;1164;181;173;653;157;1142;161;140;668;173
131024:Vilela;4739;708;687;2684;660;2326;369;350;1300;307;2413;339;337;1384;353
131202:Bonfim;22978;2154;2029;12292;6503;10378;1076;1049;5831;2422;12600;1078;980;6461;4081
131203:Campanhã;29666;3486;2990;15114;8076;13705;1774;1536;7164;3231;15961;1712;1454;7950;4845
131210:Paranhos;45883;4827;4785;24582;11689;20904;2519;2405;11475;4505;24979;2308;2380;13107;7184
131211:Ramalde;38847;5079;4066;20517;9185;17753;2568;2038;9517;3630;21094;2511;2028;11000;5555
131216:União das freguesias de Aldoar, Foz do Douro e Nevogilde;29085;3988;3229;14220;7648;13521;2046;1653;6666;3156;15564;1942;1576;7554;4492
131217:União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória;37430;3309;3272;20621;10228;16994;1670;1589;9935;3800;20436;1639;1683;10686;6428
131218:União das freguesias de Lordelo do Ouro e Massarelos;27911;3591;2865;14574;6881;12898;1813;1491;6835;2759;15013;1778;1374;7739;4122
131305:Balazar;2482;351;309;1374;448;1156;190;144;648;174;1326;161;165;726;274
131307:Estela;2287;326;288;1237;436;1109;164;161;597;187;1178;162;127;640;249
131308:Laundos;1937;238;244;1033;422;929;119;119;500;191;1008;119;125;533;231
131311:Rates;2472;366;300;1311;495;1179;204;146;620;209;1293;162;154;691;286
131315:União das freguesias da Póvoa de Varzim, Beiriz e Argivai;35435;4611;3998;19454;7372;16487;2239;2018;9148;3082;18948;2372;1980;10306;4290
131314:União das freguesias de Aguçadoura e Navais;5389;728;597;2834;1230;2595;380;321;1321;573;2794;348;276;1513;657
131313:União das freguesias de Aver-o-Mar, Amorim e Terroso;14253;1907;1650;7877;2819;6783;1005;881;3665;1232;7470;902;769;4212;1587
010901:Argoncilhe;8181;1050;886;4400;1845;3951;558;460;2162;771;4230;492;426;2238;1074
010902:Arrifana;6311;726;653;3351;1581;3035;379;313;1643;700;3276;347;340;1708;881
010904:Escapães;3315;432;353;1845;685;1569;216;169;885;299;1746;216;184;960;386
010907:Fiães;7096;803;716;3805;1772;3393;431;375;1816;771;3703;372;341;1989;1001
010908:Fornos;3433;505;364;1938;626;1681;261;199;930;291;1752;244;165;1008;335
010913:Lourosa;8003;854;861;4452;1836;3789;420;428;2144;797;4214;434;433;2308;1039
010914:Milheirós de Poiares;3594;415;392;2071;716;1779;221;189;1035;334;1815;194;203;1036;382
010916:Mozelos;7297;980;811;4174;1332;3574;520;421;2033;600;3723;460;390;2141;732
010917:Nogueira da Regedoura;5723;795;613;3213;1102;2780;403;315;1548;514;2943;392;298;1665;588
010919:Paços de Brandão;4775;540;503;2631;1101;2340;302;260;1293;485;2435;238;243;1338;616
010921:Rio Meão;4813;542;536;2706;1029;2310;288;259;1328;435;2503;254;277;1378;594
010922:Romariz;2739;259;328;1486;666;1329;123;174;743;289;1410;136;154;743;377
010924:Sanguedo;3474;490;388;1860;736;1673;240;209;893;331;1801;250;179;967;405
010925:Santa Maria de Lamas;4747;465;485;2783;1014;2268;244;252;1353;419;2479;221;233;1430;595
010926:São João de Ver;11026;1528;1207;6351;1940;5353;791;586;3100;876;5673;737;621;3251;1064
010918:São Paio de Oleiros;3661;393;364;1980;924;1732;195;201;948;388;1929;198;163;1032;536
010932:União das freguesias de Caldas de São Jorge e Pigeiros;3688;404;389;2048;847;1796;210;199;1008;379;1892;194;190;1040;468
